ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
600230.SH,20260126,10.873,20.1392,0.98,789009.6946,
301552.SZ,20260126,7.1945,7.1945,1.28,385369.6,
688528.SH,20260126,1.469,4.3589,1.29,194544.0,
605028.SH,20260126,2.2291,8.9165,0.67,434560.0,
600237.SH,20260126,7.9093,10.3471,0.81,628812.0425,
002465.SZ,20260126,16.1043,22.0764,1.02,4370509.5824,
300732.SZ,20260126,2.7555,4.7487,0.82,294595.2572,
002428.SZ,20260126,19.4044,24.2579,2.12,2715672.96,
600007.SH,20260126,0.2044,1.0563,0.94,2006506.8077,
688701.SH,20260126,5.3259,10.625,1.59,149450.715,
000756.SZ,20260126,10.3619,20.1195,3.91,1196902.1413,
688118.SH,20260126,8.4665,10.5771,0.99,309064.9535,
300068.SZ,20260126,5.8563,6.71,1.21,1453558.2898,
920491.BJ,20260126,3.6475,3.9259,1.33,402540.3494,
603829.SH,20260126,3.9859,10.5351,0.75,461567.542,
002646.SZ,20260126,1.7153,2.9472,1.38,431197.1766,
003025.SZ,20260126,1.9906,3.3398,0.93,424510.5692,
300552.SZ,20260126,15.3256,18.8769,1.3,707601.9318,
300801.SZ,20260126,7.6009,11.6196,0.59,733051.08,
601369.SH,20260126,2.0079,5.2712,1.83,1887204.5687,
002518.SZ,20260126,2.135,5.2592,0.64,3288407.3309,
600597.SH,20260126,1.2222,2.5275,1.2,1098643.5891,
603515.SH,20260126,0.2953,1.9712,0.95,1455651.1078,
603105.SH,20260126,3.0039,5.0158,1.02,513009.3387,
603132.SH,20260126,0.7121,4.3635,0.85,1792674.0,
002913.SZ,20260126,2.3275,7.0441,0.86,1344973.816,
600956.SH,20260126,0.4381,3.5566,1.25,3519900.5969,
601818.SH,20260126,0.5162,1.5213,1.07,19970916.2586,
600926.SH,20260126,1.6033,2.3652,1.9,11293945.9698,
002166.SZ,20260126,8.6571,14.483,6.62,732710.1119,
920047.BJ,20260126,1.8572,2.0325,1.27,621774.5651,
000529.SZ,20260126,1.878,4.2384,1.42,361950.0046,
300559.SZ,20260126,3.8052,5.1276,1.11,512177.6749,
603189.SH,20260126,4.2999,7.0999,1.35,549878.632,
688426.SH,20260126,3.0575,3.0575,1.07,313969.9614,
603067.SH,20260126,3.8724,6.1719,1.03,2629813.0249,
601677.SH,20260126,9.1793,10.792,1.62,2132643.0203,
001289.SZ,20260126,0.1218,4.6042,1.06,13241948.8038,
000685.SZ,20260126,1.7225,3.4112,0.78,1843889.1888,
