ts_code,trade_date,up_limit,down_limit
000001.SZ,20260126,12.09,9.89
000002.SZ,20260126,5.45,4.46
000004.SZ,20260126,13.22,11.96
000006.SZ,20260126,10.71,8.77
000007.SZ,20260126,12.69,10.39
000008.SZ,20260126,3.53,2.89
000009.SZ,20260126,11.45,9.37
000010.SZ,20260126,4.04,3.3
000011.SZ,20260126,9.99,8.17
000012.SZ,20260126,5.18,4.24
000014.SZ,20260126,15.14,12.38
000016.SZ,20260126,5.68,4.64
000017.SZ,20260126,8.92,7.3
000019.SZ,20260126,7.81,6.39
000020.SZ,20260126,16.65,13.63
000021.SZ,20260126,33.63,27.51
000025.SZ,20260126,20.85,17.06
000026.SZ,20260126,18.62,15.24
000027.SZ,20260126,7.65,6.26
000028.SZ,20260126,28.12,23.0
000029.SZ,20260126,23.53,19.25
000030.SZ,20260126,6.29,5.15
000031.SZ,20260126,3.67,3.01
000032.SZ,20260126,23.98,19.62
000034.SZ,20260126,44.42,36.34
000035.SZ,20260126,6.97,5.71
000036.SZ,20260126,7.69,6.29
000037.SZ,20260126,10.16,8.32
000039.SZ,20260126,10.91,8.93
000042.SZ,20260126,8.9,7.28
000045.SZ,20260126,14.85,12.15
000048.SZ,20260126,20.88,17.08
000049.SZ,20260126,29.95,24.51
000050.SZ,20260126,11.56,9.46
000055.SZ,20260126,4.74,3.88
000056.SZ,20260126,2.31,1.89
000058.SZ,20260126,10.86,8.88
000059.SZ,20260126,6.69,5.47
000060.SZ,20260126,8.57,7.01
000061.SZ,20260126,10.87,8.89
000062.SZ,20260126,28.56,23.36
000063.SZ,20260126,44.12,36.1
000065.SZ,20260126,14.28,11.68
000066.SZ,20260126,20.12,16.46
000068.SZ,20260126,3.91,3.2
000069.SZ,20260126,3.01,2.47
000070.SZ,20260126,12.89,10.55
000078.SZ,20260126,4.2,3.44
000088.SZ,20260126,5.02,4.1
000089.SZ,20260126,7.92,6.48
000090.SZ,20260126,4.3,3.52
000096.SZ,20260126,12.32,10.08
000099.SZ,20260126,23.4,19.14
000100.SZ,20260126,5.56,4.55
000151.SZ,20260126,14.97,12.25
000153.SZ,20260126,7.33,5.99
000155.SZ,20260126,15.53,12.71
000156.SZ,20260126,9.67,7.91
000157.SZ,20260126,9.76,7.98
000158.SZ,20260126,23.34,19.1
000159.SZ,20260126,8.22,6.72
000166.SZ,20260126,5.61,4.59
000301.SZ,20260126,13.29,10.87
000333.SZ,20260126,84.46,69.1
000338.SZ,20260126,25.85,21.15
000400.SZ,20260126,34.43,28.17
000401.SZ,20260126,5.35,4.37
000402.SZ,20260126,3.12,2.56
000403.SZ,20260126,15.55,12.73
000404.SZ,20260126,7.8,6.38
000407.SZ,20260126,5.89,4.82
000408.SZ,20260126,102.84,84.14
000409.SZ,20260126,13.32,10.9
000410.SZ,20260126,8.62,7.06
000411.SZ,20260126,14.83,12.13
000415.SZ,20260126,4.95,4.05
000417.SZ,20260126,9.47,7.75
000419.SZ,20260126,7.28,5.96
000420.SZ,20260126,5.49,4.49
000421.SZ,20260126,8.01,6.55
000422.SZ,20260126,18.08,14.8
000423.SZ,20260126,55.25,45.21
000425.SZ,20260126,12.0,9.82
000426.SZ,20260126,63.67,52.09
000428.SZ,20260126,3.93,3.21
000429.SZ,20260126,12.93,10.58
000430.SZ,20260126,7.67,6.94
000488.SZ,20260126,2.3,2.08
000498.SZ,20260126,6.88,5.63
000501.SZ,20260126,11.91,9.75
000503.SZ,20260126,11.29,9.23
000504.SZ,20260126,9.29,8.41
000505.SZ,20260126,8.24,6.74
000506.SZ,20260126,21.43,17.53
000507.SZ,20260126,6.03,4.93
000509.SZ,20260126,3.93,3.21
000510.SZ,20260126,20.52,16.79
000513.SZ,20260126,39.99,32.72
000514.SZ,20260126,5.73,4.69
000516.SZ,20260126,5.73,4.69
000517.SZ,20260126,2.01,1.65
000518.SZ,20260126,2.88,2.6
000519.SZ,20260126,21.4,17.51
000520.SZ,20260126,5.06,4.14
000521.SZ,20260126,7.46,6.1
000523.SZ,20260126,4.62,3.78
000524.SZ,20260126,13.98,11.44
000525.SZ,20260126,6.59,5.39
000526.SZ,20260126,44.57,36.47
000528.SZ,20260126,13.09,10.71
000529.SZ,20260126,6.78,5.54
000530.SZ,20260126,8.17,6.69
000531.SZ,20260126,7.94,6.5
000532.SZ,20260126,18.51,15.15
000533.SZ,20260126,10.51,8.6
000534.SZ,20260126,29.92,24.48
000536.SZ,20260126,5.54,4.54
000537.SZ,20260126,9.61,7.87
000538.SZ,20260126,61.77,50.54
000539.SZ,20260126,5.28,4.32
000541.SZ,20260126,7.13,5.83
000543.SZ,20260126,9.32,7.62
000544.SZ,20260126,9.49,7.77
000545.SZ,20260126,3.4,2.78
000546.SZ,20260126,7.54,6.17
000547.SZ,20260126,32.36,26.48
000548.SZ,20260126,6.34,5.18
000550.SZ,20260126,19.89,16.27
000551.SZ,20260126,17.58,14.38
000552.SZ,20260126,2.64,2.16
000553.SZ,20260126,6.86,5.62
000554.SZ,20260126,8.13,6.65
000555.SZ,20260126,19.23,15.73
000557.SZ,20260126,5.58,4.56
000558.SZ,20260126,5.82,4.76
000559.SZ,20260126,21.66,17.72
000560.SZ,20260126,3.45,2.83
000561.SZ,20260126,14.47,11.84
000563.SZ,20260126,4.0,3.28
000564.SZ,20260126,2.71,2.21
000565.SZ,20260126,9.68,7.92
000566.SZ,20260126,7.51,6.15
000567.SZ,20260126,6.71,5.49
000568.SZ,20260126,123.24,100.84
000570.SZ,20260126,6.46,5.28
000571.SZ,20260126,7.47,6.11
000572.SZ,20260126,8.05,6.59
000573.SZ,20260126,4.98,4.08
000576.SZ,20260126,12.71,10.4
000581.SZ,20260126,23.93,19.58
000582.SZ,20260126,10.71,8.77
000586.SZ,20260126,15.31,12.53
000589.SZ,20260126,5.67,4.64
000590.SZ,20260126,12.99,10.63
000591.SZ,20260126,6.26,5.12
000592.SZ,20260126,11.86,9.7
000593.SZ,20260126,17.71,14.49
000595.SZ,20260126,6.75,6.11
000596.SZ,20260126,138.67,113.45
000597.SZ,20260126,5.92,4.84
000598.SZ,20260126,8.06,6.6
000599.SZ,20260126,6.96,5.7
000600.SZ,20260126,9.72,7.96
000601.SZ,20260126,5.7,4.66
000603.SZ,20260126,56.65,46.35
000605.SZ,20260126,7.84,6.42
000607.SZ,20260126,5.54,4.54
000608.SZ,20260126,3.73,3.37
000609.SZ,20260126,8.53,7.71
000610.SZ,20260126,14.29,11.69
000612.SZ,20260126,15.52,12.7
000615.SZ,20260126,3.49,3.15
000617.SZ,20260126,10.22,8.36
000619.SZ,20260126,7.19,5.89
000620.SZ,20260126,3.97,3.25
000623.SZ,20260126,22.57,18.47
000625.SZ,20260126,12.87,10.53
000626.SZ,20260126,9.0,7.36
000628.SZ,20260126,55.88,45.72
000629.SZ,20260126,4.24,3.47
000630.SZ,20260126,7.55,6.17
000631.SZ,20260126,4.29,3.51
000632.SZ,20260126,5.95,4.87
000633.SZ,20260126,8.89,7.27
000635.SZ,20260126,11.18,9.14
000636.SZ,20260126,22.97,18.79
000637.SZ,20260126,5.05,4.13
000638.SZ,20260126,3.33,3.01
000639.SZ,20260126,3.64,2.98
000650.SZ,20260126,6.78,5.54
000651.SZ,20260126,43.37,35.49
000652.SZ,20260126,4.83,3.95
000655.SZ,20260126,11.75,9.61
000656.SZ,20260126,1.56,1.42
000657.SZ,20260126,49.47,40.47
000659.SZ,20260126,4.93,4.03
000661.SZ,20260126,108.68,88.92
000663.SZ,20260126,8.93,7.31
000665.SZ,20260126,6.3,5.16
000668.SZ,20260126,14.67,13.27
000669.SZ,20260126,3.1,2.8
000670.SZ,20260126,10.66,8.72
000672.SZ,20260126,15.22,12.46
000676.SZ,20260126,10.68,8.74
000677.SZ,20260126,5.05,4.13
000678.SZ,20260126,16.6,13.58
000679.SZ,20260126,8.23,6.73
000680.SZ,20260126,13.89,11.37
000681.SZ,20260126,30.69,25.11
000682.SZ,20260126,15.35,12.56
000683.SZ,20260126,9.55,7.81
000685.SZ,20260126,13.83,11.31
000686.SZ,20260126,10.15,8.31
000688.SZ,20260126,32.63,26.69
000690.SZ,20260126,4.96,4.06
000691.SZ,20260126,9.53,8.63
000692.SZ,20260126,4.1,3.36
000695.SZ,20260126,14.15,11.57
000697.SZ,20260126,9.29,8.41
000698.SZ,20260126,4.25,3.85
000700.SZ,20260126,16.54,13.54
000701.SZ,20260126,7.57,6.19
000702.SZ,20260126,7.65,6.26
000703.SZ,20260126,12.87,10.53
000705.SZ,20260126,10.65,8.71
000707.SZ,20260126,7.15,5.85
000708.SZ,20260126,17.7,14.48
000709.SZ,20260126,2.81,2.3
000710.SZ,20260126,14.51,11.87
000711.SZ,20260126,1.82,1.64
000712.SZ,20260126,13.45,11.01
000713.SZ,20260126,7.65,6.26
000715.SZ,20260126,7.32,5.99
000716.SZ,20260126,7.07,5.79
000717.SZ,20260126,3.03,2.48
000718.SZ,20260126,2.68,2.2
000719.SZ,20260126,13.81,11.3
000720.SZ,20260126,4.17,3.41
000721.SZ,20260126,10.42,8.52
000722.SZ,20260126,14.26,11.66
000723.SZ,20260126,5.48,4.48
000725.SZ,20260126,4.9,4.01
000726.SZ,20260126,8.65,7.07
000727.SZ,20260126,3.0,2.46
000728.SZ,20260126,9.33,7.63
000729.SZ,20260126,13.64,11.16
000731.SZ,20260126,7.63,6.25
000733.SZ,20260126,65.32,53.44
000735.SZ,20260126,8.87,7.25
000736.SZ,20260126,6.28,5.68
000737.SZ,20260126,18.22,14.9
000738.SZ,20260126,27.86,22.8
000739.SZ,20260126,20.35,16.65
000750.SZ,20260126,4.77,3.91
000751.SZ,20260126,6.29,5.15
000752.SZ,20260126,11.51,10.41
000753.SZ,20260126,8.47,6.93
000755.SZ,20260126,5.83,4.77
000756.SZ,20260126,17.89,14.63
000757.SZ,20260126,5.8,4.74
000758.SZ,20260126,8.9,7.28
000759.SZ,20260126,8.43,6.89
000761.SZ,20260126,3.91,3.2
000762.SZ,20260126,32.84,26.87
000766.SZ,20260126,29.12,23.82
000767.SZ,20260126,3.37,2.75
000768.SZ,20260126,33.36,27.3
000776.SZ,20260126,24.54,20.08
000777.SZ,20260126,29.77,24.35
000778.SZ,20260126,5.14,4.2
000779.SZ,20260126,9.77,7.99
000782.SZ,20260126,6.27,5.13
000783.SZ,20260126,9.56,7.82
000785.SZ,20260126,3.6,2.94
000786.SZ,20260126,30.2,24.71
000788.SZ,20260126,7.24,5.92
000789.SZ,20260126,6.08,4.98
000790.SZ,20260126,4.46,3.65
000791.SZ,20260126,7.61,6.23
000792.SZ,20260126,39.16,32.04
000793.SZ,20260126,2.88,2.6
000795.SZ,20260126,11.73,9.59
000796.SZ,20260126,6.91,5.65
000797.SZ,20260126,3.65,2.99
000798.SZ,20260126,12.02,9.84
000799.SZ,20260126,58.53,47.89
000800.SZ,20260126,7.7,6.3
000801.SZ,20260126,18.47,15.11
000802.SZ,20260126,5.13,4.19
000803.SZ,20260126,10.84,8.87
000807.SZ,20260126,35.9,29.38
000809.SZ,20260126,3.96,3.24
000810.SZ,20260126,13.64,11.16
000811.SZ,20260126,18.49,15.13
000812.SZ,20260126,5.34,4.37
000813.SZ,20260126,4.36,3.56
000815.SZ,20260126,13.17,10.77
000816.SZ,20260126,4.42,3.62
000818.SZ,20260126,23.4,19.14
000819.SZ,20260126,18.89,15.45
000820.SZ,20260126,4.45,4.03
000821.SZ,20260126,13.19,11.93
000822.SZ,20260126,6.44,5.27
000823.SZ,20260126,16.43,13.45
000825.SZ,20260126,6.13,5.01
000826.SZ,20260126,2.56,2.1
000828.SZ,20260126,12.11,9.91
000829.SZ,20260126,12.06,9.86
000830.SZ,20260126,22.5,18.41
000831.SZ,20260126,61.04,49.94
000833.SZ,20260126,25.63,20.97
000837.SZ,20260126,14.87,12.17
000838.SZ,20260126,3.25,2.66
000839.SZ,20260126,3.18,2.6
000848.SZ,20260126,9.45,7.73
000850.SZ,20260126,7.06,5.78
000852.SZ,20260126,8.81,7.21
000856.SZ,20260126,11.83,9.68
000858.SZ,20260126,113.29,92.69
000859.SZ,20260126,13.57,11.11
000860.SZ,20260126,16.28,13.32
000862.SZ,20260126,7.04,5.76
000863.SZ,20260126,6.91,5.65
000868.SZ,20260126,5.58,4.56
000869.SZ,20260126,23.27,19.04
000875.SZ,20260126,7.62,6.24
000876.SZ,20260126,9.55,7.81
000877.SZ,20260126,6.29,5.15
000878.SZ,20260126,25.86,21.16
000880.SZ,20260126,42.08,34.43
000881.SZ,20260126,10.23,8.37
000882.SZ,20260126,2.23,1.83
000883.SZ,20260126,5.14,4.2
000885.SZ,20260126,15.64,12.8
000886.SZ,20260126,7.24,5.92
000887.SZ,20260126,25.67,21.01
000888.SZ,20260126,14.96,12.24
000889.SZ,20260126,4.21,3.45
000890.SZ,20260126,6.07,4.97
000892.SZ,20260126,9.22,7.54
000893.SZ,20260126,65.8,53.84
000895.SZ,20260126,28.07,22.97
000897.SZ,20260126,2.57,2.11
000898.SZ,20260126,2.94,2.4
000899.SZ,20260126,12.06,9.86
000900.SZ,20260126,4.68,3.83
000901.SZ,20260126,30.57,25.01
000902.SZ,20260126,18.51,15.15
000903.SZ,20260126,2.85,2.57
000905.SZ,20260126,14.67,12.01
000906.SZ,20260126,6.75,5.53
000908.SZ,20260126,8.05,7.29
000909.SZ,20260126,6.06,5.48
000910.SZ,20260126,8.56,7.0
000911.SZ,20260126,8.36,6.84
000912.SZ,20260126,4.94,4.04
000913.SZ,20260126,17.57,14.37
000915.SZ,20260126,35.61,29.13
000917.SZ,20260126,13.05,10.67
000919.SZ,20260126,8.83,7.23
000920.SZ,20260126,14.87,12.17
000921.SZ,20260126,27.02,22.1
000922.SZ,20260126,16.42,13.44
000923.SZ,20260126,27.52,22.52
000925.SZ,20260126,10.38,8.5
000926.SZ,20260126,2.63,2.15
000927.SZ,20260126,3.16,2.58
000928.SZ,20260126,7.48,6.12
000929.SZ,20260126,11.51,10.41
000930.SZ,20260126,7.03,5.75
000931.SZ,20260126,5.75,4.71
000932.SZ,20260126,6.78,5.54
000933.SZ,20260126,35.12,28.74
000935.SZ,20260126,30.18,24.7
000936.SZ,20260126,9.82,8.04
000937.SZ,20260126,6.06,4.96
000938.SZ,20260126,29.22,23.9
000948.SZ,20260126,19.66,16.08
000949.SZ,20260126,7.98,6.53
000950.SZ,20260126,7.07,5.79
000951.SZ,20260126,19.31,15.8
000952.SZ,20260126,8.44,6.9
000953.SZ,20260126,8.07,6.61
000955.SZ,20260126,6.4,5.24
000957.SZ,20260126,13.02,10.66
000958.SZ,20260126,7.47,6.11
000959.SZ,20260126,6.23,5.09
000960.SZ,20260126,46.18,37.78
000962.SZ,20260126,42.8,35.02
000963.SZ,20260126,41.45,33.91
000965.SZ,20260126,4.57,3.74
000966.SZ,20260126,4.99,4.09
000967.SZ,20260126,8.53,6.98
000968.SZ,20260126,8.75,7.16
000969.SZ,20260126,28.84,23.6
000970.SZ,20260126,16.13,13.19
000972.SZ,20260126,4.25,3.85
000973.SZ,20260126,14.31,11.71
000975.SZ,20260126,38.01,31.1
000977.SZ,20260126,71.37,58.39
000978.SZ,20260126,8.01,6.55
000980.SZ,20260126,3.81,3.11
000981.SZ,20260126,5.52,4.52
000983.SZ,20260126,7.59,6.21
000985.SZ,20260126,23.02,18.84
000987.SZ,20260126,12.24,10.02
