trade_date,ts_code,name,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
20260203,000039.SZ,中集集团,U,10.37,10.37,8.49,0,143755576.0,110757,110757,143755576.0
20260203,000533.SZ,顺钠股份,U,10.14,10.14,8.3,0,160818067.0,94018,94018,160818067.0
20260203,000534.SZ,万泽股份,U,30.65,30.65,25.07,0,122037480.0,143930,143930,122037480.0
20260203,000547.SZ,航天发展,U,32.38,32.38,26.5,3,396242414.0,111500,135145,396242414.0
20260203,000738.SZ,航发控制,U,25.86,25.86,21.16,0,174512589.0,101633,101633,174512589.0
20260203,000811.SZ,冰轮环境,U,17.33,17.33,14.18,0,157846128.0,130203,130203,157846128.0
20260203,000856.SZ,冀东装备,U,11.59,11.59,9.49,0,63332384.0,93000,93000,63332384.0
20260203,000962.SZ,东方钽业,U,43.21,43.21,35.35,2,87018631.0,95506,100106,87018631.0
20260203,000995.SZ,皇台酒业,U,19.27,19.27,15.77,5,40950792.0,93315,95745,40950792.0
20260203,001316.SZ,润贝航科,U,56.33,56.33,46.09,0,126211815.0,100024,100024,126211815.0
20260203,001400.SZ,江顺科技,U,110.55,110.55,90.45,0,98154249.0,103354,103354,98154249.0
20260203,002012.SZ,凯恩股份,U,6.91,6.91,5.65,0,68829805.0,112303,112303,68829805.0
20260203,002112.SZ,三变科技,U,23.79,23.79,19.47,0,156627150.0,140527,140527,156627150.0
20260203,002126.SZ,银轮股份,U,39.28,39.28,32.14,0,114396950.0,145603,145603,114396950.0
20260203,002155.SZ,湖南黄金,U,36.63,36.63,29.97,4,206275801.0,133812,141706,206275801.0
20260203,002165.SZ,红 宝 丽,U,13.7,13.7,11.21,0,149790320.0,100024,100024,149790320.0
20260203,002238.SZ,天威视讯,U,9.03,9.03,7.39,2,39122619.0,133427,134030,39122619.0
20260203,002342.SZ,巨力索具,U,16.01,16.01,13.1,0,272032233.0,100551,100551,272032233.0
20260203,002361.SZ,神剑股份,U,12.82,12.82,10.49,1,146208074.0,105236,110533,146208074.0
20260203,002364.SZ,中恒电气,U,32.74,32.74,26.78,4,87820695.0,130012,133724,87820695.0
20260203,002455.SZ,百川股份,U,10.31,10.31,8.43,1,82135646.0,101948,102239,82135646.0
20260203,002471.SZ,中超控股,U,9.47,9.47,7.75,1,165759271.0,111933,143751,165759271.0
20260203,002785.SZ,万里石,U,45.62,45.62,37.32,8,38243246.0,132545,142924,38243246.0
20260203,002792.SZ,通宇通讯,U,52.81,52.81,43.21,1,273173085.0,93721,102300,273173085.0
20260203,002830.SZ,名雕股份,U,28.14,28.14,23.02,1,246818697.0,94857,95003,246818697.0
20260203,002865.SZ,钧达股份,U,110.22,110.22,90.18,6,146262711.0,94345,141454,146262711.0
20260203,002922.SZ,伊戈尔,U,43.86,43.86,35.88,0,89193871.0,140645,140645,89193871.0
20260203,002943.SZ,宇晶股份,U,81.11,81.11,66.37,0,205352919.0,93603,93603,205352919.0
20260203,002951.SZ,金时科技,U,14.66,14.66,12.0,0,45482650.0,130206,130206,45482650.0
20260203,002957.SZ,科瑞技术,U,24.67,24.67,20.19,3,40111125.0,94254,100715,40111125.0
20260203,003035.SZ,南网能源,U,7.44,7.44,6.08,0,92346336.0,102342,102342,92346336.0
20260203,300757.SZ,罗博特科,U,424.8,424.8,283.2,0,88563153.0,134224,134224,88563153.0
20260203,300842.SZ,帝科股份,U,123.97,123.97,82.65,1,30489181.0,130121,143921,30489181.0
20260203,301182.SZ,凯旺科技,U,47.63,47.63,31.75,0,106941829.0,131018,131018,106941829.0
20260203,301362.SZ,民爆光电,U,64.78,64.78,43.18,0,479502855.0,92500,92500,479502855.0
20260203,301636.SZ,泽润新能,U,74.56,74.56,49.7,3,19261308.0,130500,133106,19261308.0
20260203,600053.SH,九鼎投资,U,24.75,24.75,20.25,1,42537330.0,94129,101505,42537330.0
20260203,600149.SH,廊坊发展,U,5.92,5.92,4.84,0,40187807.0,92503,92503,40187807.0
20260203,600266.SH,城建发展,U,6.0,6.0,4.91,1,126493524.0,92502,100223,126493524.0
20260203,600330.SH,天通股份,U,15.4,15.4,12.6,0,112963481.0,93344,93344,112963481.0
20260203,600410.SH,华胜天成,U,21.87,21.87,17.89,7,207365697.0,94442,105303,207365697.0
20260203,600481.SH,双良节能,U,10.1,10.1,8.26,0,290154123.0,93327,93327,290154123.0
20260203,600586.SH,金晶科技,U,6.4,6.4,5.24,0,38264985.0,130734,130734,38264985.0
20260203,600590.SH,泰豪科技,U,11.62,11.62,9.5,0,208461068.0,93003,93003,208461068.0
20260203,600673.SH,东阳光,U,29.11,29.11,23.81,0,59837031.0,141219,141219,59837031.0
20260203,600683.SH,京投发展,U,5.45,5.45,4.46,0,88618035.0,92502,92502,88618035.0
20260203,600785.SH,新华百货,U,25.65,25.65,20.99,0,81843635.0,134839,134839,81843635.0
20260203,600869.SH,远东股份,U,13.17,13.17,10.77,0,108493538.0,141143,141143,108493538.0
20260203,600984.SH,建设机械,U,4.53,4.53,3.71,2,11839829.0,131533,141127,11839829.0
20260203,600986.SH,浙文互联,U,15.42,15.42,12.62,8,255174400.0,93059,105508,255174400.0
20260203,601799.SH,星宇股份,U,143.87,143.87,117.71,17,33822398.0,103243,144313,33822398.0
20260203,601992.SH,金隅集团,U,2.09,2.09,1.71,1,48283807.0,93307,93449,48283807.0
20260203,603031.SH,安孚科技,U,55.65,55.65,45.53,0,70023115.0,133207,133207,70023115.0
20260203,603051.SH,鹿山新材,U,26.51,26.51,21.69,0,169669964.0,110948,110948,169669964.0
20260203,603095.SH,越剑智能,U,19.93,19.93,16.31,0,81439879.0,95708,95708,81439879.0
20260203,603103.SH,横店影视,U,30.86,30.86,25.25,1,107434553.0,92502,93111,107434553.0
20260203,603172.SH,万丰股份,U,31.13,31.13,25.47,3,150062445.0,92502,102738,150062445.0
20260203,603211.SH,晋拓股份,U,24.51,24.51,20.05,0,83238411.0,130327,130327,83238411.0
20260203,603285.SH,键邦股份,U,34.99,34.99,28.63,0,111999421.0,111811,111811,111999421.0
20260203,603612.SH,索通发展,U,29.26,29.26,23.94,3,33381212.0,100247,143347,33381212.0
20260203,603618.SH,杭电股份,U,10.93,10.93,8.95,1,245843199.0,92501,93731,245843199.0
20260203,603773.SH,沃格光电,U,40.11,40.11,32.81,1,81879711.0,95209,104133,81879711.0
20260203,603778.SH,国晟科技,U,14.71,14.71,12.03,1,66459044.0,131629,132953,66459044.0
20260203,603806.SH,福斯特,U,18.7,18.7,15.3,2,81626659.0,94312,112900,81626659.0
20260203,603920.SH,世运电路,U,70.06,70.06,57.32,0,38561234.0,132133,132133,38561234.0
20260203,605123.SH,派克新材,U,125.31,125.31,102.53,1,100378573.0,103217,110141,100378573.0
20260203,605599.SH,菜百股份,U,23.93,23.93,19.58,1,41167903.0,94653,95408,41167903.0
20260203,688516.SH,奥特维,U,116.24,116.24,77.5,4,95853945.0,94250,105350,95853945.0
20260203,688680.SH,海优新材,U,67.64,67.64,45.1,6,53827709.0,131330,132806,53827709.0
