trade_date,ts_code,name,industry,is_hot_board,board_rank,board_limit_up_count,is_st_like
20260204,000039.SZ,中集集团,运输设备,0,,,0
20260204,000070.SZ,特发信息,通信设备,0,,,0
20260204,000517.SZ,荣安地产,区域地产,1,5.0,4.0,0
20260204,000533.SZ,顺钠股份,电气设备,1,1.0,16.0,0
20260204,000560.SZ,我爱我家,房产服务,0,,,0
20260204,000723.SZ,美锦能源,焦炭加工,1,3.0,6.0,0
20260204,000838.SZ,财信发展,区域地产,1,5.0,4.0,0
20260204,000983.SZ,山西焦煤,煤炭开采,1,2.0,8.0,0
20260204,001223.SZ,欧克科技,专用机械,1,6.0,3.0,0
20260204,002126.SZ,银轮股份,汽车配件,1,4.0,5.0,0
20260204,002129.SZ,TCL中环,电气设备,1,1.0,16.0,0
20260204,002218.SZ,拓日新能,新型电力,0,,,0
20260204,002278.SZ,神开股份,化工机械,0,,,0
20260204,002286.SZ,保龄宝,食品,0,,,0
20260204,002300.SZ,太阳电缆,电气设备,1,1.0,16.0,0
20260204,002334.SZ,英威腾,电气设备,1,1.0,16.0,0
20260204,002342.SZ,巨力索具,机械基件,0,,,0
20260204,002355.SZ,兴民智通,汽车配件,1,4.0,5.0,0
20260204,002441.SZ,众业达,电气设备,1,1.0,16.0,0
20260204,002506.SZ,协鑫集成,电气设备,1,1.0,16.0,0
20260204,002623.SZ,亚玛顿,玻璃,0,,,0
20260204,002791.SZ,坚朗五金,其他建材,0,,,0
20260204,002810.SZ,山东赫达,化工原料,1,7.0,2.0,0
20260204,002830.SZ,名雕股份,装修装饰,0,,,0
20260204,002853.SZ,皮阿诺,家居用品,0,,,0
20260204,002928.SZ,华夏航空,空运,1,9.0,2.0,0
20260204,002970.SZ,锐明技术,IT设备,1,10.0,1.0,0
20260204,003038.SZ,鑫铂股份,铝,0,,,0
20260204,300393.SZ,中来股份,塑料,0,,,0
20260204,300423.SZ,昇辉科技,电气设备,1,1.0,16.0,0
20260204,300912.SZ,凯龙高科,汽车配件,1,4.0,5.0,0
20260204,300985.SZ,致远新能,汽车配件,1,4.0,5.0,0
20260204,301119.SZ,正强股份,汽车配件,1,4.0,5.0,0
20260204,301362.SZ,民爆光电,电气设备,1,1.0,16.0,0
20260204,301636.SZ,泽润新能,电气设备,1,1.0,16.0,0
20260204,600072.SH,中船科技,电气设备,1,1.0,16.0,0
20260204,600115.SH,中国东航,空运,1,9.0,2.0,0
20260204,600188.SH,兖矿能源,煤炭开采,1,2.0,8.0,0
20260204,600325.SH,华发股份,区域地产,1,5.0,4.0,0
20260204,600330.SH,天通股份,专用机械,1,6.0,3.0,0
20260204,600403.SH,大有能源,煤炭开采,1,2.0,8.0,0
20260204,600481.SH,双良节能,电气设备,1,1.0,16.0,0
20260204,600546.SH,山煤国际,煤炭开采,1,2.0,8.0,0
20260204,600683.SH,京投发展,区域地产,1,5.0,4.0,0
20260204,600740.SH,山西焦化,焦炭加工,1,3.0,6.0,0
20260204,600759.SH,洲际油气,石油开采,0,,,0
20260204,600778.SH,友好集团,百货,1,8.0,2.0,0
20260204,600792.SH,云煤能源,焦炭加工,1,3.0,6.0,0
20260204,600814.SH,杭州解百,百货,1,8.0,2.0,0
20260204,600860.SH,京城股份,专用机械,1,6.0,3.0,0
20260204,600971.SH,恒源煤电,煤炭开采,1,2.0,8.0,0
20260204,600997.SH,开滦股份,焦炭加工,1,3.0,6.0,0
20260204,601001.SH,晋控煤业,煤炭开采,1,2.0,8.0,0
20260204,601011.SH,宝泰隆,焦炭加工,1,3.0,6.0,0
20260204,601015.SH,陕西黑猫,焦炭加工,1,3.0,6.0,0
20260204,601096.SH,宏盛华源,钢加工,0,,,0
20260204,601226.SH,华电科工,建筑工程,0,,,0
20260204,601699.SH,潞安环能,煤炭开采,1,2.0,8.0,0
20260204,601898.SH,中煤能源,煤炭开采,1,2.0,8.0,0
20260204,603334.SH,丰倍生物,化工原料,1,7.0,2.0,0
20260204,603381.SH,永臻股份,电气设备,1,1.0,16.0,0
20260204,603616.SH,韩建河山,水泥,0,,,0
20260204,603618.SH,杭电股份,电气设备,1,1.0,16.0,0
20260204,603778.SH,国晟科技,电气设备,1,1.0,16.0,0
20260204,603826.SH,坤彩科技,染料涂料,0,,,0
20260204,605376.SH,博迁新材,小金属,0,,,0
20260204,688223.SH,晶科能源,电气设备,1,1.0,16.0,0
20260204,688429.SH,时创能源,电气设备,1,1.0,16.0,0
