ts_code,trade_date,open,high,low,close,vol,amount,pct_chg
000001.SZ,20260206,11.08,11.14,10.99,11.05,727709.59,803862.241,-0.3607
000002.SZ,20260206,4.82,4.86,4.78,4.81,1625125.89,783147.72,-1.4344
000004.SZ,20260206,9.77,9.77,9.77,9.77,2626.0,2565.602,-4.9611
000006.SZ,20260206,8.92,9.15,8.82,8.98,191868.55,172214.616,-0.2222
000007.SZ,20260206,11.15,12.0,11.11,11.82,166729.02,196242.22,5.63
000008.SZ,20260206,2.95,3.01,2.93,2.99,386893.17,115527.084,1.3559
000009.SZ,20260206,9.32,9.62,9.24,9.45,246946.43,233335.123,0.7463
000010.SZ,20260206,3.78,3.8,3.55,3.55,449889.01,162728.805,-5.5851
000011.SZ,20260206,9.1,9.11,8.97,9.06,54066.0,48926.331,-0.7667
000012.SZ,20260206,4.69,4.72,4.64,4.65,260184.87,121826.367,-0.8529
000014.SZ,20260206,13.27,13.34,13.05,13.21,42065.81,55551.571,-1.1967
000016.SZ,20260206,3.5,3.74,3.45,3.68,1081769.8,390090.92,3.0812
000017.SZ,20260206,7.47,7.82,7.43,7.71,187950.4,144690.222,2.3904
000019.SZ,20260206,7.18,7.26,7.12,7.12,108391.57,77984.399,-1.1111
000020.SZ,20260206,15.21,15.5,15.01,15.3,56552.64,86671.353,0.5917
000021.SZ,20260206,27.02,27.71,26.75,27.19,542597.42,1478305.384,-0.7664
000025.SZ,20260206,18.12,18.51,18.08,18.3,59255.08,108704.113,-0.1092
000026.SZ,20260206,15.56,15.63,15.38,15.47,37376.01,58022.617,-0.4505
000027.SZ,20260206,6.66,6.77,6.64,6.72,184861.94,124416.358,0.2985
000028.SZ,20260206,26.49,26.77,26.32,26.44,50206.25,133614.347,-0.1888
000029.SZ,20260206,22.85,22.87,22.01,22.1,91239.74,203440.436,-4.2461
000030.SZ,20260206,5.38,5.46,5.36,5.39,103996.0,56319.378,-0.1852
000031.SZ,20260206,3.72,3.81,3.65,3.73,572977.23,213786.658,0.0
000032.SZ,20260206,19.62,19.95,19.36,19.58,168385.53,331086.531,-1.4099
000034.SZ,20260206,35.6,36.36,35.28,35.85,115958.68,416163.689,-0.3059
000035.SZ,20260206,6.01,6.1,5.96,5.98,235108.51,141777.655,-0.8292
000036.SZ,20260206,5.59,5.73,5.45,5.59,437095.24,245094.101,0.1792
000037.SZ,20260206,9.39,9.61,9.25,9.48,178008.0,169341.953,0.8511
000039.SZ,20260206,11.17,11.29,10.91,10.98,910942.72,1005606.357,-2.7458
000042.SZ,20260206,9.0,9.22,8.91,9.16,93607.06,85182.617,2.0045
000045.SZ,20260206,12.38,13.1,12.29,12.9,161904.0,207091.593,3.6977
000048.SZ,20260206,18.02,18.55,17.89,18.3,147951.91,270243.361,1.5538
000049.SZ,20260206,25.58,26.25,25.41,26.01,51580.66,134006.425,0.853
000050.SZ,20260206,9.27,9.43,9.2,9.33,287876.51,268751.005,0.0
000055.SZ,20260206,3.96,4.04,3.92,3.99,105760.21,42265.958,0.7576
000056.SZ,20260206,2.1,2.28,2.1,2.28,1435843.88,323149.719,10.1449
000058.SZ,20260206,9.09,9.15,9.01,9.07,104828.0,95278.884,-0.9825
000059.SZ,20260206,5.77,5.97,5.68,5.88,276638.0,162104.319,1.2048
000060.SZ,20260206,6.69,7.0,6.59,6.87,1765287.07,1205280.589,0.0
000061.SZ,20260206,9.2,9.39,9.14,9.19,147976.0,137223.767,-0.7559
