ts_code,trade_date,name,close,pct_change,turnover_rate,amount,l_sell,l_buy,l_amount,net_amount,net_rate,amount_rate,float_values,reason
000056.SZ,20260206,皇庭国际,2.28,10.1449,15.89,649316923.0,95449161.2,72869595.0,168318756.2,-22579566.2,-3.48,25.92,2238058054.0,连续三个交易日内，涨幅偏离值累计达到20%的证券
000638.SZ,20260206,*ST万方,1.9,-5.0,0.37,5733210.0,3064010.0,1820980.0,4884990.0,-1243030.0,-21.68,85.21,589276641.9,连续三个交易日内，跌幅偏离值累计达到12%的ST证券、*ST证券和未完成股改证券
000822.SZ,20260206,山东海化,6.39,1.4286,17.63,971643783.0,250775191.34,149325212.5,400100403.84,-101449978.84,-10.44,41.18,5719637407.14,日振幅值达到15%的前5只证券
000995.SZ,20260206,皇台酒业,18.08,-10.005,6.77,217463515.0,15205616.0,42450412.0,57656028.0,27244796.0,12.53,26.51,3207536640.0,日跌幅偏离值达到7%的前5只证券
001209.SZ,20260206,洪兴股份,24.8,7.873,20.18,805460574.0,143077697.27,157849300.6,300926997.87,14771603.33,1.83,37.36,2383146972.8,连续三个交易日内，涨幅偏离值累计达到20%的证券
001215.SZ,20260206,千味央厨,43.41,-9.0319,8.78,385769363.0,112906269.0,80394280.0,193300549.0,-32511989.0,-8.43,50.11,4201346253.33,日跌幅偏离值达到7%的前5只证券
001331.SZ,20260206,胜通能源,56.07,-10.0,7.46,713531175.0,65221108.13,68806370.55,134027478.68,3585262.42,0.5,18.78,9412789321.53,日跌幅偏离值达到7%的前5只证券
002163.SZ,20260206,海南发展,16.5,-7.7697,16.63,2210240054.0,256740467.61,164634656.05,421375123.66,-92105811.56,-4.17,19.06,13258556437.5,日跌幅偏离值达到7%的前5只证券
002165.SZ,20260206,红宝丽,13.16,1.9365,37.85,3621498457.0,470103843.4,449565459.05,919669302.45,-20538384.35,-0.57,25.39,9575604167.36,日振幅值达到15%的前5只证券
002218.SZ,20260206,拓日新能,7.24,1.1173,27.15,2657540746.0,226144881.82,348553335.0,574698216.82,122408453.18,4.61,21.63,10080963322.76,日振幅值达到15%的前5只证券
002326.SZ,20260206,永太科技,28.77,10.0191,12.58,2842766903.0,289072541.89,600449035.96,889521577.85,311376494.07,10.95,31.29,23250735638.34,日涨幅偏离值达到7%的前5只证券
002342.SZ,20260206,巨力索具,20.38,7.9449,42.45,8234196735.0,1110967157.15,896022801.08,2006989958.23,-214944356.07,-2.61,24.37,19456582200.0,日换手率达到20%的前5只证券
002361.SZ,20260206,神剑股份,15.24,10.0361,37.95,4446215403.0,514629267.08,561059611.68,1075688878.76,46430344.6,1.04,24.19,12331034276.16,日换手率达到20%的前5只证券
002361.SZ,20260206,神剑股份,15.24,10.0361,37.95,7180535913.0,639921924.59,879116024.9,1519037949.49,239194100.31,3.33,21.15,12331034276.16,连续三个交易日内，涨幅偏离值累计达到20%的证券
002506.SZ,20260206,协鑫集成,4.58,10.0962,30.24,7497764993.0,736271382.95,899971623.68,1636243006.63,163700240.73,2.18,21.82,26767495248.66,日振幅值达到15%的前5只证券
002634.SZ,20260206,棒杰股份,6.9,10.0478,3.24,345450224.0,57693262.0,66683922.2,124377184.2,8990660.2,2.6,36.0,3080950312.2,连续三个交易日内，涨幅偏离值累计达到20%的证券
002759.SZ,20260206,天际股份,40.29,9.9918,15.08,2974632720.0,176834842.1,371564004.97,548398847.07,194729162.87,6.55,18.44,20182956926.97,日涨幅偏离值达到7%的前5只证券
002812.SZ,20260206,恩捷股份,57.44,9.9962,6.47,2946323718.0,241123735.8,851227878.57,1092351614.37,610104142.77,20.71,37.08,47252110630.72,日涨幅偏离值达到7%的前5只证券
002830.SZ,20260206,名雕股份,30.65,10.0144,38.19,718792573.0,59678556.26,90412782.0,150091338.26,30734225.74,4.28,20.88,2049029125.0,日振幅值达到15%的前5只证券
002931.SZ,20260206,锋龙股份,104.85,-10.0,12.62,2754755552.0,208137263.87,138673714.95,346810978.82,-69463548.92,-2.52,12.59,21101432410.8,日跌幅偏离值达到7%的前5只证券
002995.SZ,20260206,天地在线,35.23,-3.7957,41.57,1709379325.0,193786390.34,157162302.49,350948692.83,-36624087.85,-2.14,20.53,3960458237.84,日换手率达到20%的前5只证券
003018.SZ,20260206,金富科技,20.54,10.0161,2.34,266254327.0,37227257.0,90601998.2,127829255.2,53374741.2,20.05,48.01,2012487119.5,连续三个交易日内，涨幅偏离值累计达到20%的证券
300164.SZ,20260206,通源石油,12.64,9.7222,39.32,2803120289.0,359907056.0,396969255.0,756876311.0,37062199.0,1.32,27.0,7371784233.92,日换手率达到30%的前5只证券
300264.SZ,20260206,佳创视讯,8.08,17.2714,28.24,795830515.0,52850623.6,146996351.56,199846975.16,94145727.96,11.83,25.11,2993065940.24,日涨幅达到15%的前5只证券
300461.SZ,20260206,田中精机,50.57,20.0047,10.93,751883334.0,185860066.8,148065713.6,333925780.4,-37794353.2,-5.03,44.41,7267073706.49,日涨幅达到15%的前5只证券
300461.SZ,20260206,田中精机,50.57,20.0047,10.93,929460412.0,190728500.8,165560623.6,356289124.4,-25167877.2,-2.71,38.33,7267073706.49,连续三个交易日内，涨幅偏离值累计达到30%的证券
300912.SZ,20260206,凯龙高科,34.3,20.014,2.03,59895792.0,20991600.0,50455300.0,71446900.0,29463700.0,49.19,119.29,2947595367.5,日涨幅达到15%的前5只证券
301312.SZ,20260206,智立方,80.33,20.003,16.49,739075492.0,82144582.27,131591264.36,213735846.63,49446682.09,6.69,28.92,4864203612.45,日涨幅达到15%的前5只证券
301362.SZ,20260206,民爆光电,97.12,4.1055,46.1,1247455173.0,155059508.38,88243157.08,243302665.46,-66816351.3,-5.36,19.5,2881550400.0,日换手率达到30%的前5只证券
301636.SZ,20260206,泽润新能,103.89,12.1922,53.77,846805248.0,73026151.37,93926171.3,166952322.67,20900019.93,2.47,19.72,1658807058.84,日换手率达到30%的前5只证券
