ts_code,trade_date,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag
000012.SZ,20260616,1min,241,1,09:38:00,15:00:00,1,0,4.8673,0,,0.0,35.7965,0.015885,0.0,31,0.0,70.0,67.2389,8.25,neutral_limitup
000029.SZ,20260616,1min,241,1,10:33:00,15:00:00,1,0,0.6517,0,,0.0,61.0898,0.013975,0.0,31,0.0,57.0,68.9769,10.2,neutral_limitup
000032.SZ,20260616,1min,241,1,09:58:00,15:00:00,2,3,0.4806,3,2.3333,93.3333,58.7833,0.029216,0.0,31,0.0,58.6667,69.035,30.9667,high_open_board_risk
000034.SZ,20260616,1min,241,1,14:15:00,15:00:00,1,1,0.2645,1,2.0,95.0,84.6633,0.025687,0.0,31,0.0,54.0,74.699,15.85,neutral_limitup
000048.SZ,20260616,1min,241,1,10:21:00,15:00:00,1,0,1.0466,0,,0.0,58.7206,0.004764,0.0,31,0.0,57.0,68.2662,10.2,neutral_limitup
000541.SZ,20260616,1min,241,1,09:35:00,15:00:00,2,1,3.2015,1,1.0,100.0,68.791,0.015925,0.0,31,0.0,80.0,81.6373,10.7,healthy_limitup
000564.SZ,20260616,1min,241,1,14:14:00,15:00:00,2,2,3.125,2,7.0,78.0,49.55,0.135968,0.0,24,12.0,37.6,53.785,33.26,weak_limitup
000679.SZ,20260616,1min,241,1,13:14:00,15:00:00,1,0,0.7485,0,,0.0,60.509,0.014818,0.0,31,0.0,45.0,63.4027,12.0,neutral_limitup
000736.SZ,20260616,1min,241,1,09:38:00,15:00:00,1,0,0.6494,0,,0.0,61.1039,0.011282,0.0,31,0.0,70.0,74.8312,8.25,neutral_limitup
000777.SZ,20260616,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.023557,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
000791.SZ,20260616,1min,241,1,09:35:00,15:00:00,1,0,2.0474,0,,0.0,52.7155,0.032005,0.0,31,0.0,70.0,72.3147,8.25,neutral_limitup
000970.SZ,20260616,1min,241,1,09:40:00,15:00:00,2,2,2.7082,2,4.5,88.0,55.5508,0.015062,0.0,31,0.0,67.6,72.0853,23.26,neutral_limitup
001257.SZ,20260616,1min,241,1,09:32:00,15:00:00,1,0,3.7545,0,,0.0,42.4732,0.013424,0.0,31,0.0,70.0,69.242,8.25,neutral_limitup
001266.SZ,20260616,1min,241,1,13:02:00,15:00:00,1,0,0.2592,0,,0.0,63.445,0.011746,0.0,31,0.0,45.0,64.2835,12.0,neutral_limitup
001283.SZ,20260616,1min,241,1,10:22:00,15:00:00,1,0,0.3206,0,,0.0,63.0762,0.009422,0.0,31,0.0,57.0,69.5729,10.2,neutral_limitup
001387.SZ,20260616,1min,241,1,10:50:00,15:00:00,1,0,2.1689,0,,0.0,51.9868,0.041239,0.0,31,0.0,57.0,66.246,10.2,neutral_limitup
002008.SZ,20260616,1min,241,1,13:21:00,15:00:00,2,0,1.3761,0,,0.0,56.7435,0.017309,0.0,31,0.0,45.0,62.2731,12.0,neutral_limitup
002047.SZ,20260616,1min,241,1,09:31:00,15:00:00,1,0,3.7118,0,,0.0,42.7293,0.003845,0.0,31,0.0,70.0,69.3188,8.25,neutral_limitup
002058.SZ,20260616,1min,241,1,10:44:00,15:00:00,3,2,2.4587,2,18.5,46.5,42.5229,0.003788,0.0,31,0.0,46.3,58.5919,36.83,neutral_limitup
002080.SZ,20260616,1min,241,1,10:40:00,15:00:00,1,2,0.6407,2,1.0,100.0,72.1559,0.052793,0.0,31,0.0,57.0,72.2968,21.85,neutral_limitup
002141.SZ,20260616,1min,241,1,10:04:00,15:00:00,1,0,0.2571,0,,0.0,63.4576,0.007178,0.0,31,0.0,57.0,69.6873,10.2,neutral_limitup
002160.SZ,20260616,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.022139,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
002194.SZ,20260616,1min,241,1,09:49:00,15:00:00,2,1,1.4937,1,2.0,95.0,77.2877,0.016544,0.0,31,0.0,79.0,83.7363,12.1,healthy_limitup
002217.SZ,20260616,1min,241,1,10:08:00,15:00:00,1,0,1.1494,0,,0.0,58.1034,0.012256,0.0,31,0.0,57.0,68.081,10.2,neutral_limitup
002303.SZ,20260616,1min,241,1,14:43:00,15:00:00,1,0,2.4725,0,,0.0,50.1648,0.340114,0.0,18,40.8204,9.7949,34.252,27.4859,weak_limitup
002346.SZ,20260616,1min,241,1,10:45:00,15:00:00,1,0,0.8884,0,,0.0,59.6696,0.013906,0.0,31,0.0,57.0,68.5509,10.2,neutral_limitup
002436.SZ,20260616,1min,241,1,13:06:00,15:00:00,3,4,2.0408,4,11.25,63.25,26.8926,0.011119,0.0,31,0.0,17.65,41.0103,52.34,high_open_board_risk
002446.SZ,20260616,1min,241,1,09:44:00,15:00:00,1,0,1.0195,0,,0.0,58.8828,0.017428,0.0,31,0.0,70.0,74.1648,8.25,neutral_limitup
002449.SZ,20260616,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.018816,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
002484.SZ,20260616,1min,241,1,10:24:00,15:00:00,2,2,0.4717,2,1.0,100.0,73.1698,0.031411,0.0,31,0.0,57.0,72.6009,21.85,neutral_limitup
002515.SZ,20260616,1min,241,1,09:32:00,15:00:00,1,0,2.854,0,,0.0,47.876,0.005186,0.0,31,0.0,70.0,70.8628,8.25,neutral_limitup
002552.SZ,20260616,1min,241,1,09:35:00,15:00:00,1,0,0.423,0,,0.0,62.4623,0.03148,0.0,31,0.0,70.0,75.2387,8.25,healthy_limitup
002585.SZ,20260616,1min,241,1,09:31:00,15:00:00,1,0,0.4996,0,,0.0,62.0021,0.01736,0.0,31,0.0,70.0,75.1006,8.25,healthy_limitup
002645.SZ,20260616,1min,241,1,09:55:00,15:00:00,1,0,1.4868,0,,0.0,56.0794,0.01001,0.0,31,0.0,70.0,73.3238,8.25,neutral_limitup
002672.SZ,20260616,1min,241,1,13:14:00,15:00:00,1,0,2.8278,0,,0.0,48.0334,0.041233,0.0,31,0.0,45.0,59.66,12.0,neutral_limitup
002700.SZ,20260616,1min,241,1,09:58:00,15:00:00,1,0,2.1445,0,,0.0,52.1332,0.012249,0.0,31,0.0,70.0,72.14,8.25,neutral_limitup
002729.SZ,20260616,1min,241,1,13:15:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.023764,0.0,31,0.0,45.0,64.75,12.0,neutral_limitup
002734.SZ,20260616,1min,241,1,13:24:00,15:00:00,2,1,0.4271,1,2.0,95.0,83.6875,0.010316,0.0,31,0.0,54.0,74.4062,15.85,neutral_limitup
002735.SZ,20260616,1min,241,1,09:30:00,15:00:00,1,0,0.8862,0,,0.0,59.6828,0.020761,0.0,31,0.0,70.0,74.4049,8.25,neutral_limitup
002741.SZ,20260616,1min,241,1,09:30:00,15:00:00,1,0,0.0,0,,0.0,65.0,0.015962,0.0,31,0.0,70.0,76.0,8.25,healthy_limitup
002774.SZ,20260616,1min,241,1,14:47:00,15:00:00,1,0,1.0815,0,,0.0,58.5108,0.533425,0.0,14,75.6165,1.0959,24.1423,37.4897,late_withdraw_risk
