ts_code,trade_time,open,high,low,close,vol,amount
603067.SH,2026-06-25 15:00:00,46.38,46.38,46.38,46.38,66810.0,3098648.0
603067.SH,2026-06-25 14:59:00,46.38,46.38,46.38,46.38,0.0,0.0
603067.SH,2026-06-25 14:58:00,46.38,46.38,46.38,46.38,500.0,23190.0
603067.SH,2026-06-25 14:57:00,46.38,46.38,46.38,46.38,34900.0,1618662.0
603067.SH,2026-06-25 14:56:00,46.38,46.38,46.38,46.38,72400.0,3357912.0
603067.SH,2026-06-25 14:55:00,46.38,46.38,46.38,46.38,35900.0,1665042.0
603067.SH,2026-06-25 14:54:00,46.38,46.38,46.38,46.38,6900.0,320022.0
603067.SH,2026-06-25 14:53:00,46.38,46.38,46.38,46.38,8100.0,375678.0
603067.SH,2026-06-25 14:52:00,46.38,46.38,46.38,46.38,29900.0,1386762.0
603067.SH,2026-06-25 14:51:00,46.38,46.38,46.38,46.38,308200.0,14294316.0
603067.SH,2026-06-25 14:50:00,46.38,46.38,46.38,46.38,60721.0,2816240.0
603067.SH,2026-06-25 14:49:00,46.38,46.38,46.38,46.38,17900.0,830202.0
603067.SH,2026-06-25 14:48:00,46.38,46.38,46.38,46.38,19700.0,913686.0
603067.SH,2026-06-25 14:47:00,46.38,46.38,46.38,46.38,13746.0,637539.0
603067.SH,2026-06-25 14:46:00,46.38,46.38,46.38,46.38,9200.0,426696.0
603067.SH,2026-06-25 14:45:00,46.38,46.38,46.38,46.38,9600.0,445248.0
603067.SH,2026-06-25 14:44:00,46.38,46.38,46.38,46.38,38964.0,1807150.0
603067.SH,2026-06-25 14:43:00,46.38,46.38,46.38,46.38,95300.0,4420014.0
603067.SH,2026-06-25 14:42:00,46.38,46.38,46.38,46.38,125800.0,5834604.0
603067.SH,2026-06-25 14:41:00,46.38,46.38,46.38,46.38,21300.0,987894.0
603067.SH,2026-06-25 14:40:00,46.38,46.38,46.38,46.38,117587.0,5453685.0
603067.SH,2026-06-25 14:39:00,46.38,46.38,46.38,46.38,5000.0,231900.0
603067.SH,2026-06-25 14:38:00,46.38,46.38,46.38,46.38,6300.0,292194.0
603067.SH,2026-06-25 14:37:00,46.38,46.38,46.38,46.38,5800.0,269004.0
603067.SH,2026-06-25 14:36:00,46.38,46.38,46.38,46.38,2900.0,134502.0
603067.SH,2026-06-25 14:35:00,46.38,46.38,46.38,46.38,1700.0,78846.0
603067.SH,2026-06-25 14:34:00,46.38,46.38,46.38,46.38,2900.0,134502.0
603067.SH,2026-06-25 14:33:00,46.38,46.38,46.38,46.38,7010.0,325124.0
603067.SH,2026-06-25 14:32:00,46.38,46.38,46.38,46.38,6400.0,296832.0
603067.SH,2026-06-25 14:31:00,46.38,46.38,46.38,46.38,14700.0,681786.0
603067.SH,2026-06-25 14:30:00,46.38,46.38,46.38,46.38,5700.0,264366.0
603067.SH,2026-06-25 14:29:00,46.38,46.38,46.38,46.38,3600.0,166968.0
603067.SH,2026-06-25 14:28:00,46.38,46.38,46.38,46.38,14700.0,681786.0
603067.SH,2026-06-25 14:27:00,46.38,46.38,46.38,46.38,15900.0,737442.0
603067.SH,2026-06-25 14:26:00,46.38,46.38,46.38,46.38,15700.0,728166.0
603067.SH,2026-06-25 14:25:00,46.38,46.38,46.38,46.38,66600.0,3088908.0
603067.SH,2026-06-25 14:24:00,46.38,46.38,46.38,46.38,900.0,41742.0
603067.SH,2026-06-25 14:23:00,46.38,46.38,46.38,46.38,2100.0,97398.0
603067.SH,2026-06-25 14:22:00,46.38,46.38,46.38,46.38,3500.0,162330.0
603067.SH,2026-06-25 14:21:00,46.38,46.38,46.38,46.38,1380.0,64005.0
603067.SH,2026-06-25 14:20:00,46.38,46.38,46.38,46.38,55100.0,2555538.0
603067.SH,2026-06-25 14:19:00,46.38,46.38,46.38,46.38,8200.0,380316.0
603067.SH,2026-06-25 14:18:00,46.38,46.38,46.38,46.38,4880.0,226334.0
603067.SH,2026-06-25 14:17:00,46.38,46.38,46.38,46.38,9200.0,426696.0
603067.SH,2026-06-25 14:16:00,46.38,46.38,46.38,46.38,5500.0,255090.0
603067.SH,2026-06-25 14:15:00,46.38,46.38,46.38,46.38,2900.0,134502.0
603067.SH,2026-06-25 14:14:00,46.38,46.38,46.38,46.38,1400.0,64932.0
