trade_date,ts_code,name,limit_times,advance_stage,晋阶,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,up_stat
20260812,000048.SZ,京基智农,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,000410.SZ,沈阳机床,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,000593.SZ,德龙汇能,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,5/9
20260812,000665.SZ,湖北广电,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,000692.SZ,惠天热电,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,000715.SZ,中兴商业,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,000720.SZ,新能泰山,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,000736.SZ,中交发展,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,000802.SZ,北京文化,3.0,3→4,3→4,1.1,0.0,0.43,limit_list_d,3/3
20260812,000887.SZ,中鼎股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,000936.SZ,华西股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,001260.SZ,坤泰股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,001313.SZ,粤海饲料,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,001696.SZ,宗申动力,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002005.SZ,德豪润达,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002031.SZ,巨轮智能,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260812,002047.SZ,宝鹰股份,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260812,002081.SZ,金 螳 螂,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002146.SZ,荣盛发展,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002164.SZ,宁波东力,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002172.SZ,澳洋健康,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002173.SZ,创新医疗,,,,,,,limit_list_d,0/0
20260812,002178.SZ,延华智能,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002229.SZ,鸿博股份,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260812,002244.SZ,滨江集团,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002248.SZ,华东数控,3.0,3→4,3→4,1.1,0.0,0.43,limit_list_d,3/3
20260812,002329.SZ,皇氏集团,3.0,3→4,3→4,1.1,0.0,0.43,limit_list_d,3/3
20260812,002357.SZ,富临运业,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002379.SZ,宏桥控股,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002400.SZ,省广集团,,,,,,,limit_list_d,0/0
20260812,002421.SZ,达实智能,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002437.SZ,誉衡药业,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,3/4
20260812,002483.SZ,润邦股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002491.SZ,通鼎互联,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002520.SZ,日发精机,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002536.SZ,飞龙股份,,,,,,,limit_list_d,0/0
20260812,002552.SZ,宝鼎科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,7/9
20260812,002562.SZ,兄弟科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002573.SZ,清新环境,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002582.SZ,好想你,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002589.SZ,瑞康医药,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,3/4
20260812,002682.SZ,龙洲股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,002739.SZ,儒意电影,,,,,,,limit_list_d,0/0
20260812,002762.SZ,金发拉比,,,,,,,limit_list_d,2/4
20260812,002792.SZ,通宇通讯,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,5/8
20260812,002870.SZ,香山股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,003032.SZ,传智教育,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,9/13
20260812,300197.SZ,节能铁汉,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,300246.SZ,宝莱特,,,,,,,limit_list_d,0/0
20260812,300862.SZ,蓝盾光电,3.0,3→4,3→4,1.1,0.0,0.43,limit_list_d,3/3
20260812,301129.SZ,瑞纳智能,,,,,,,limit_list_d,0/0
20260812,301315.SZ,威士顿,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,301486.SZ,致尚科技,,,,,,,limit_list_d,0/0
20260812,301602.SZ,超研股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,600105.SH,永鼎股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,600162.SH,香江控股,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260812,600216.SH,浙江医药,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,600234.SH,科新发展,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,600266.SH,城建发展,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,600272.SH,开开实业,,,,,,,limit_list_d,4/5
20260812,600376.SH,首开股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,600379.SH,宝光股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,600397.SH,江钨装备,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,4/7
20260812,600572.SH,康恩贝,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,600602.SH,云赛智联,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,600604.SH,市北高新,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,600641.SH,先导基电,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,3/4
20260812,600683.SH,京投发展,3.0,3→4,3→4,1.1,0.0,0.43,limit_list_d,3/3
20260812,600721.SH,百花医药,7.0,7→8,7→8,0.72,0.16,0.35,limit_list_d,7/7
20260812,600857.SH,宁波中百,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,600881.SH,亚泰集团,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260812,601155.SH,新城控股,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,601700.SH,风范股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,6/8
20260812,601886.SH,江河集团,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,2/3
20260812,603052.SH,可川科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603076.SH,乐惠国际,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603095.SH,越剑智能,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603102.SH,百合股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,2/4
20260812,603191.SH,望变电气,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603228.SH,景旺电子,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,3/5
20260812,603232.SH,格尔软件,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603269.SH,海鸥股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,2/3
20260812,603277.SH,银都股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603289.SH,泰瑞机器,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603330.SH,天洋新材,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603369.SH,今世缘,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603396.SH,金辰股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603399.SH,永杉锂业,,,,,,,limit_list_d,0/0
20260812,603466.SH,风语筑,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603538.SH,美诺华,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603598.SH,引力传媒,,,,,,,limit_list_d,0/0
20260812,603615.SH,茶花股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603690.SH,至纯科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603696.SH,安记食品,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,603758.SH,秦安股份,4.0,4→5,4→5,1.1,0.005,0.515,limit_list_d,4/4
20260812,603887.SH,城地香江,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260812,603897.SH,长城科技,2.0,2→3,2→3,0.92,0.015,0.35,limit_list_d,2/2
20260812,603918.SH,金桥信息,,,,,,,limit_list_d,0/0
20260812,605179.SH,一鸣食品,3.0,3→4,3→4,1.1,0.0,0.43,limit_list_d,8/12
20260812,605286.SH,同力天启,3.0,3→4,3→4,1.1,0.0,0.43,limit_list_d,3/3
20260812,605289.SH,罗曼股份,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,2/4
20260812,688167.SH,炬光科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,688635.SH,长进光子,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
20260812,920826.BJ,盖世食品,,,,,,,limit_list_d,0/0
20260812,920856.BJ,浩淼科技,1.0,1→2,1→2,0.78,0.035,0.16,limit_list_d,1/1
