ts_code,trade_date,update_time,price,open,high,low,close,pre_close,pct_chg,vol,amount,realtime_source
920138.BJ,20260812,2026-08-12 15:00:00,53.26,53.0,59.4,52.51,53.26,18.86,182.3966065747614,28357777.0,1560897470.5099998,stk_mins
920826.BJ,20260812,2026-08-12 15:00:00,9.8,8.02,10.4,8.0,9.8,8.0,22.500000000000007,17752022.0,165395107.20000002,stk_mins
301129.SZ,20260812,2026-08-12 15:00:00,24.88,21.22,25.46,21.01,24.88,21.22,17.247879359095197,7866453.0,189314525.8,stk_mins
688300.SH,20260812,2026-08-12 15:00:00,165.0,144.02,165.0,142.23,165.0,143.46,15.014638226683385,16618522.0,2516595391.0,stk_mins
300246.SZ,20260812,2026-08-12 15:00:00,18.32,16.27,19.24,15.99,18.32,16.03,14.28571428571428,43117265.0,779314287.5,stk_mins
300935.SZ,20260812,2026-08-12 15:00:00,35.0,31.06,35.66,30.92,35.0,30.63,14.267058439438474,9004699.0,303681051.01,stk_mins
300167.SZ,20260812,2026-08-12 15:00:00,5.0,4.34,5.25,4.29,5.0,4.38,14.155251141552515,26905560.0,127941936.2,stk_mins
300615.SZ,20260812,2026-08-12 15:00:00,19.0,16.98,19.52,16.68,19.0,16.71,13.704368641532017,48890660.0,879268892.01,stk_mins
920553.BJ,20260812,2026-08-12 15:00:00,8.22,7.17,8.57,7.02,8.22,7.23,13.692946058091282,10320449.0,81312596.80000001,stk_mins
688320.SH,20260812,2026-08-12 15:00:00,36.86,32.61,37.1,32.46,36.86,32.6,13.067484662576678,10138911.0,362956647.0,stk_mins
688143.SH,20260812,2026-08-12 15:00:00,117.99,105.39,124.2,103.42,117.99,104.36,13.06055960137984,19743148.0,2281680060.0,stk_mins
300626.SZ,20260812,2026-08-12 15:00:00,35.69,31.88,36.0,31.61,35.69,31.65,12.764612954186404,12819301.0,445098926.5,stk_mins
688371.SH,20260812,2026-08-12 15:00:00,32.2,28.82,33.0,28.0,32.2,28.6,12.587412587412583,14816484.0,460322889.0,stk_mins
301148.SZ,20260812,2026-08-12 15:00:00,59.76,53.18,60.0,52.5,59.76,53.2,12.33082706766917,3684789.0,212818876.5,stk_mins
920575.BJ,20260812,2026-08-12 15:00:00,5.75,5.09,6.09,4.82,5.75,5.13,12.085769980506832,17017437.0,92297158.43,stk_mins
688115.SH,20260812,2026-08-12 15:00:00,59.9,53.46,59.9,53.46,59.9,53.46,12.04638982416759,3945874.0,224264521.0,stk_mins
301107.SZ,20260812,2026-08-12 15:00:00,22.4,20.01,22.99,19.85,22.4,20.01,11.944027986006978,5443194.0,117652056.78,stk_mins
