ts_code,trade_time,open,high,low,close,vol,amount
920078.BJ,2026-08-21 15:00:00,19.87,19.87,19.87,19.87,0.0,0.0
920078.BJ,2026-08-21 14:59:00,19.87,19.87,19.87,19.87,0.0,0.0
920078.BJ,2026-08-21 14:58:00,19.87,19.87,19.87,19.87,0.0,0.0
920078.BJ,2026-08-21 14:57:00,19.87,19.88,19.85,19.87,35328.0,701771.06
920078.BJ,2026-08-21 14:56:00,19.86,19.88,19.85,19.88,85184.0,1691788.2
920078.BJ,2026-08-21 14:55:00,19.87,19.87,19.85,19.86,54788.0,1087980.4
920078.BJ,2026-08-21 14:54:00,19.84,19.88,19.84,19.87,35699.0,708930.5
920078.BJ,2026-08-21 14:53:00,19.85,19.86,19.8,19.84,47310.0,938255.75
920078.BJ,2026-08-21 14:52:00,19.82,19.85,19.82,19.85,31415.0,623424.3
920078.BJ,2026-08-21 14:51:00,19.8,19.83,19.8,19.83,9394.0,186114.0
920078.BJ,2026-08-21 14:50:00,19.89,19.89,19.8,19.8,59269.0,1175053.5
920078.BJ,2026-08-21 14:49:00,19.95,19.95,19.87,19.89,84418.0,1680726.9
920078.BJ,2026-08-21 14:48:00,19.94,19.96,19.94,19.95,22502.0,448820.53
920078.BJ,2026-08-21 14:47:00,19.92,19.95,19.92,19.94,24522.0,489011.4
920078.BJ,2026-08-21 14:46:00,19.87,19.9,19.87,19.9,9524.0,189480.6
920078.BJ,2026-08-21 14:45:00,19.91,19.91,19.87,19.87,34188.0,680371.8
920078.BJ,2026-08-21 14:44:00,19.93,19.94,19.91,19.92,24543.0,488960.78
920078.BJ,2026-08-21 14:43:00,19.93,19.93,19.92,19.93,16506.0,328855.38
920078.BJ,2026-08-21 14:42:00,19.94,19.94,19.92,19.93,7573.0,150921.19
920078.BJ,2026-08-21 14:41:00,19.9,19.93,19.9,19.91,3430.0,68351.66
920078.BJ,2026-08-21 14:40:00,19.87,19.92,19.87,19.9,2410.0,47940.7
920078.BJ,2026-08-21 14:39:00,19.95,19.95,19.87,19.87,40231.0,801165.3
