ts_code,trade_date,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,intraday_vwap,intraday_vwap_position,late_volume_ratio,late_price_change_pct,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag
000506.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
000831.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
001326.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
002158.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
002428.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
002937.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
300010.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
300163.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
300179.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
300189.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
300227.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
300285.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
300302.SZ,20260827,1min,0,0,,,0,0,,0,,0.0,0.0,,,,,,0,0.0,0.0,0.0,100.0,missing_minute_data
