rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
1,600108.SH,亚盛集团,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.43868587549367766,0.0,0.0,0.0,0.0,0.44868587549367767
2,002436.SZ,兴森科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.700548,0.0,0,0.0,0.0,0.5,0.0,0.5703232565100279,0.0,中,分时缺失|低置信,0.4169388727052833,0.0,0.0,0.0,0.0,0.3930138727052833
3,600865.SH,百大集团,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.3837062827075938,0.0,0.0,0.0,0.0,0.39370628270759384
4,603186.SH,华正新材,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.70926,0.0,0,0.0,0.0,0.5,0.0,0.6284004256073777,0.0,中,分时缺失|低置信,0.396260817905993,0.0,0.0,0.0,0.0,0.372335817905993
5,000823.SZ,超声电子,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.696786,0.0,0,0.0,0.0,0.5,0.0,0.5452380952380949,0.0,中,分时缺失|低置信,0.39616377954570936,0.0,0.0,0.0,0.0,0.3722387795457094
6,002579.SZ,中京电子,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.708032,0.0,0,0.0,0.0,0.5,0.0,0.6202127659574471,0.0,中,分时缺失|低置信,0.39574224839730465,0.0,0.0,0.0,0.0,0.3718172483973047
7,601086.SH,国芳集团,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.702421,0.0,0,0.0,0.0,0.5,0.0,0.5828063241106711,0.0,中,分时缺失|低置信,0.35091162919989904,0.0,0.0,0.0,0.0,0.32698662919989907
8,000798.SZ,中水渔业,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.730429,0.0,0,0.0,0.0,0.5,0.0,0.769526627218934,0.0,中,分时缺失|低置信,0.2791937401394082,0.0,0.0,0.0,0.0,0.2703687401394082
9,600330.SH,天通股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.720543,0.0,0,0.0,0.0,0.5,0.0,0.7036176694592531,0.0,中,分时缺失|低置信,0.2983856589173952,0.0,0.0,0.0,0.0,0.27446065891739524
10,603395.SH,红四方,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.6825,0.0,0,0.0,0.0,0.5,0.0,0.45,0.0,中,分时缺失|低置信,0.2847284100704553,0.0,0.0,0.0,0.0,0.2608034100704553
11,002470.SZ,金正大,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.686806,0.0,0,0.0,0.0,0.5,0.0,0.4787081339712927,0.0,中,分时缺失|低置信,0.2944361718481988,0.0,0.0,0.0,0.0,0.27051117184819884
12,000735.SZ,罗 牛 山,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.2525225231854252,0.0,0.0,0.0,0.0,0.24369752318542517
13,001366.SZ,播恩集团,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.2825859905032914,0.0,0.0,0.0,0.0,0.27376099050329145
14,002852.SZ,道道全,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.697306,0.0,0,0.0,0.0,0.5,0.0,0.5487074030552292,0.0,中,分时缺失|低置信,0.2654270703950049,0.0,0.0,0.0,0.0,0.2415020703950049
15,600345.SH,长江通信,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.69042,0.0,0,0.0,0.0,0.5,0.0,0.5028010302640042,0.0,中,分时缺失|低置信,0.31793456029187667,0.0,0.0,0.0,0.0,0.2940095602918767
16,002975.SZ,博杰股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.701157,0.0,0,0.0,0.0,0.5,0.0,0.5743817741765759,0.0,中,分时缺失|低置信,0.2689382614702971,0.0,0.0,0.0,0.0,0.2450132614702971
17,603118.SH,共进股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.723459,0.0,0,0.0,0.0,0.5,0.0,0.7230627306273053,0.0,中,分时缺失|低置信,0.32333092225622845,0.0,0.0,0.0,0.0,0.2994059222562285
18,002281.SZ,光迅科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.71148,0.0,0,0.0,0.0,0.5,0.0,0.6432021466905187,0.0,中,分时缺失|低置信,0.3222739878125595,0.0,0.0,0.0,0.0,0.29834898781255953
19,002909.SZ,集泰股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.723693,0.0,0,0.0,0.0,0.5,0.0,0.7246185852981968,0.0,中,分时缺失|低置信,0.2657198100699829,0.0,0.0,0.0,0.0,0.2417948100699829
20,002972.SZ,科安达,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.6825,0.0,0,0.0,0.0,0.5,0.0,0.45,0.0,中,分时缺失|低置信,0.2774726941894925,0.0,0.0,0.0,0.0,0.2535476941894925
21,002916.SZ,深南电路,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.699317,0.0,0,0.0,0.0,0.5,0.0,0.5621157323688972,0.0,中,分时缺失|低置信,0.3152297618124857,0.0,0.0,0.0,0.0,0.2913047618124857
22,600354.SH,敦煌种业,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.720953,0.0,0,0.0,0.0,0.5,0.0,0.70635103926097,0.0,中,分时缺失|低置信,0.30761774839913336,0.0,0.0,0.0,0.0,0.2987927483991334
23,002708.SZ,光洋股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.665997,0.0,0,0.0,0.0,0.5,0.0,0.33998035363457757,0.0,中,分时缺失|低置信,0.3203150755736234,0.0,0.0,0.0,0.0,0.2963900755736234
24,002702.SZ,海欣食品,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.2371216252562932,0.0,0.0,0.0,0.0,0.2282966252562932
25,002483.SZ,润邦股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.694017,0.0,0,0.0,0.0,0.5,0.0,0.5267824497257777,0.0,中,分时缺失|低置信,0.28732379593563856,0.0,0.0,0.0,0.0,0.2633987959356386
26,002564.SZ,天沃科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.760999,0.0,0,0.0,0.0,0.5,0.0,0.973326572008114,0.0,中,分时缺失|低置信,0.25734109980678005,0.0,0.0,0.0,0.0,0.24851609980678005
27,002980.SZ,华盛昌,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.704966,0.0,0,0.0,0.0,0.5,0.0,0.5997764530551415,0.0,中,分时缺失|低置信,0.274359683680323,0.0,0.0,0.0,0.0,0.250434683680323
28,603823.SH,百合花,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.693076,0.0,0,0.0,0.0,0.5,0.0,0.5205079605761952,0.0,中,分时缺失|低置信,0.2552671991909493,0.0,0.0,0.0,0.0,0.2313421991909493
29,600127.SH,金健米业,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.750549,0.0,0,0.0,0.0,0.5,0.0,0.9036585365853662,0.0,中,分时缺失|低置信,0.2709070624796306,0.0,0.0,0.0,0.0,0.2469820624796306
30,600400.SH,红豆股份,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.688794,0.0,0,0.0,0.0,0.5,0.0,0.49195804195804255,0.0,中,分时缺失|低置信,0.25969437444637294,0.0,0.0,0.0,0.0,0.23576937444637294
31,603608.SH,天创时尚,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.684648,0.0,0,0.0,0.0,0.5,0.0,0.464319809069212,0.0,中,分时缺失|低置信,0.24582312139933107,0.0,0.0,0.0,0.0,0.22189812139933107
32,002963.SZ,豪尔赛,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.688756,0.0,0,0.0,0.0,0.5,0.0,0.4917080436941415,0.0,中,分时缺失|低置信,0.241638481695307,0.0,0.0,0.0,0.0,0.217713481695307
33,603826.SH,坤彩科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.685348,0.0,0,0.0,0.0,0.5,0.0,0.468987341772152,0.0,中,分时缺失|低置信,0.22879962699477296,0.0,0.0,0.0,0.0,0.20487462699477296
34,001296.SZ,长江材料,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.765,0.0,0,0.0,0.0,0.5,0.0,1.0,0.0,中,分时缺失|低置信,0.2410255739435712,0.0,0.0,0.0,0.0,0.21710057394357118
35,603124.SH,江南新材,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.691031,0.0,0,0.0,0.0,0.5,0.0,0.5068744232866379,0.0,中,分时缺失|低置信,0.2551304745139066,0.0,0.0,0.0,0.0,0.23120547451390658
36,001389.SZ,广合科技,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.700486,0.0,0,0.0,0.0,0.5,0.0,0.5699056480146767,0.0,中,分时缺失|低置信,0.30626629197531424,0.0,0.0,0.0,0.0,0.28234129197531427
37,600103.SH,青山纸业,0,missing_stock,stock not covered by intraday_features.csv,0.55,0.695176,0.0,0,0.0,0.0,0.5,0.0,0.534507042253521,0.0,中,分时缺失|低置信,0.2777386865861284,0.0,0.0,0.0,0.0,0.2538136865861284
