rank,ts_code,name,intraday_available,intraday_status,intraday_missing_reason,limitup_quality_score,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,auction_strength_score,intraday_confidence_score,risk_level,risk_label,raw_final_score,intraday_bonus,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,final_score_v2
1,001216.SZ,华瓷股份,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.47156509543787317,0.03145,0.00315,0.0,0.00315,0.4826400954378732
2,600825.SH,新华传媒,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.4022904383187367,0.03145,0.00315,0.0,0.00315,0.4217654383187367
3,600743.SH,华远控股,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.33589117543224084,0.03145,0.00315,0.0,0.00315,0.35536617543224086
4,001234.SZ,泰慕士,1,ok,,0.728,0.817,0.091333,0,0.0913334,0.0,0.5433330000000001,0.0,0.9328883038736372,1.0,低,健康涨停,0.36185938679476287,0.030425,0.004109985,0.0,0.004109985,0.3793494017947629
5,000504.SZ,南华生物,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.34031990070432167,0.03145,0.00315,0.0,0.00315,0.37834490070432164
6,002757.SZ,南兴股份,1,ok,,0.6616209999999999,0.738846,0.096586,0,0.09658620000000001,0.0,0.517069,0.0,0.5796398891966754,1.0,低,健康涨停,0.3487052303133057,0.02847115,0.0043463700000000004,0.0,0.0043463700000000004,0.34890501031330573
7,000607.SZ,华媒控股,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.3168145430941619,0.03145,0.00315,0.0,0.00315,0.3362895430941619
8,600770.SH,综艺股份,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.29240860035842053,0.03145,0.00315,0.0,0.00315,0.29678360035842055
9,601811.SH,新华文轩,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.3537500763287962,0.03145,0.00315,0.0,0.00315,0.3920500763287962
10,600418.SH,江淮汽车,1,ok,,0.632303,0.72706,0.080131,0,0.09,0.0,0.599343,0.0,0.45,1.0,低,健康涨停,0.3185778218304649,0.0281765,0.0036058949999999996,0.0,0.0036058949999999996,0.3192234268304649
11,002564.SZ,天沃科技,1,ok,,0.6807340000000001,0.707967,0.122844,0,0.12284400000000001,0.0,0.38578,0.0,0.510606060606061,1.0,低,健康涨停,0.31066033090342154,0.027699175,0.005527979999999999,0.0,0.005527979999999999,0.3089065259034216
12,002290.SZ,禾盛新材,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.2974217787953382,0.03145,0.00315,0.0,0.00315,0.3017967787953382
13,002303.SZ,美盈森,1,ok,,0.7156520000000001,0.81513,0.099565,0,0.0995652,0.0,0.502174,0.0,1.0,1.0,低,健康涨停,0.3011816184925203,0.030378250000000002,0.004480425,0.0,0.004480425,0.3182544434925203
14,600503.SH,华丽家族,1,ok,,0.340955,0.503799,0.217571,0,0.21757100000000001,0.312128,0.38033700000000004,0.0,0.25246913580246866,1.0,低,健康涨停,0.27583079517462794,0.022594975000000003,0.020715175000000002,0.0,0.020715175000000002,0.26888559517462796
15,001317.SZ,三羊马,1,ok,,0.707059,0.758096,0.105294,0,0.1052942,0.0,0.473529,0.0,0.6751501000667111,1.0,低,健康涨停,0.2872563993647251,0.028952400000000003,0.0047382299999999995,0.0,0.0047382299999999995,0.32147056936472507
16,002614.SZ,奥佳华,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.29887005529862437,0.03145,0.00315,0.0,0.00315,0.3183450552986244
17,603230.SH,内蒙新华,1,ok,,0.641344,0.628395,0.247604,0,0.24760400000000002,0.0,0.26198,2.0,0.6239716790289951,1.0,低,回封偏弱,0.32533346174176364,0.025709875,0.01914218,0.0,0.01914218,0.3294261567417636
18,001266.SZ,宏英智能,1,ok,,0.639801,0.657535,0.182132,0,0.24825000000000003,0.0,0.339338,1.0,0.5181818181818187,1.0,低,回封偏弱,0.2823738898462967,0.026438375,0.012195939999999999,0.0,0.012195939999999999,0.2726913248462967
19,002178.SZ,延华智能,1,ok,,0.7035290000000001,0.72763,0.151047,0,0.20834999999999998,0.0,0.494765,1.0,0.6507874015748029,1.0,低,健康涨停,0.30307101158276323,0.02819075,0.010797115,0.0,0.010797115,0.3116396465827632
20,603903.SH,中持股份,1,ok,,0.620388,0.714893,0.088075,0,0.09,0.0,0.559627,0.0,0.44567723342939436,1.0,低,健康涨停,0.27811923999850025,0.027872325000000003,0.003963375,0.0,0.003963375,0.27810318999850026
21,605398.SH,新炬网络,1,ok,,0.6710299999999999,0.729334,0.090313,0,0.09031320000000001,0.0,0.548434,0.0,0.4555865921787714,1.0,低,健康涨停,0.2877014077344523,0.028233350000000004,0.004064085,0.0,0.004064085,0.2879456727344523
22,603636.SH,南威软件,1,ok,,0.76,0.858,0.07,0,0.07,0.0,0.65,0.0,1.0,1.0,低,健康涨停,0.2938723926956315,0.03145,0.00315,0.0,0.00315,0.3133473926956315
23,603020.SH,爱普股份,1,ok,,0.7240420000000001,0.75118,0.187972,0,0.187972,0.0,0.560141,2.0,0.8795942720763719,1.0,低,健康涨停,0.2669299768861035,0.0287795,0.01645874,0.0,0.01645874,0.2704257368861035
24,001268.SZ,联合精密,1,ok,,0.64077,0.639966,0.181487,0,0.24825000000000003,0.0,0.342567,1.0,0.3948080381068592,1.0,低,回封偏弱,0.2881658859328365,0.02599915,0.012166915,0.0,0.012166915,0.27807312093283654
25,002313.SZ,日海智能,1,ok,,0.775218,0.736406,0.136855,0,0.136855,0.0,0.5657260000000001,1.0,0.4713017751479296,1.0,低,健康涨停,0.28501413309926904,0.028410150000000002,0.010158475,0.0,0.010158475,0.2793408080992691
26,002672.SZ,东江环保,1,ok,,0.549237,0.649222,0.135509,0,0.135509,0.0,0.322457,0.0,0.4663934426229502,1.0,低,回封偏弱,0.26649984578334335,0.02623055,0.006097904999999999,0.0,0.006097904999999999,0.2627074907833434
27,603039.SH,泛微网络,1,ok,,0.525091,0.590727,0.242006,0,0.323475,0.0,0.28997,2.0,0.5680382377389848,1.0,低,回封偏弱,0.2696914893244157,0.024768175000000003,0.01889027,0.0,0.01889027,0.25164439432441577
28,000560.SZ,我爱我家,1,ok,,0.8534869999999999,0.836905,0.087675,0,0.08767520000000001,0.0,0.811624,1.0,0.6568965517241384,1.0,低,健康涨停,0.28891843667568057,0.030922625000000002,0.007945375000000001,0.0,0.007945375000000001,0.3030706866756806
29,600664.SH,哈药股份,1,ok,,0.842282,0.877539,0.095145,0,0.0951454,0.0,0.774273,1.0,1.0,1.0,低,健康涨停,0.33226836111017843,0.031938475,0.008281525,0.0,0.008281525,0.34710031111017847
30,600641.SH,先导基电,1,ok,,0.713086,0.792398,0.101276,0,0.101276,0.0,0.493621,0.0,0.864989939637827,1.0,低,健康涨停,0.3001086738618951,0.02980995,0.00455742,0.0,0.00455742,0.3014362038618951
31,603580.SH,艾艾精工,1,ok,,0.7820189999999999,0.765095,0.155321,0,0.155321,0.0,0.723396,2.0,0.6387320005592064,1.0,低,健康涨停,0.2549249566774309,0.029127375000000004,0.014989445,0.0,0.014989445,0.260237886677431
32,600721.SH,百花医药,1,ok,,0.566242,0.635942,0.199172,0,0.28875,0.12,0.43414,1.0,0.5549429657794674,1.0,低,健康涨停,0.24617171668602392,0.02589855,0.01716274,0.0,0.01716274,0.2460825266860239
33,002301.SZ,齐心集团,1,ok,,0.7444660000000001,0.762619,0.080356,0,0.08035600000000001,0.0,0.59822,0.0,0.4642348754448398,1.0,低,健康涨停,0.2553488129180538,0.029065475,0.0036160199999999997,0.0,0.0036160199999999997,0.2568732679180538
34,603221.SH,爱丽家居,1,ok,,0.742295,0.764877,0.081803,0,0.08180320000000002,0.0,0.590984,0.0,0.49327868852459017,1.0,低,健康涨停,0.32206865485155534,0.029121925,0.003681135,0.0,0.003681135,0.32358444485155535
