trade_date,verify_date,topn,hit,hit_rate,note,ranking_source,top1_n,top1_hit,top1_hit_rate,top3_n,top3_hit,top3_hit_rate,top5_n,top5_hit,top5_hit_rate,top10_n,top10_hit,top10_hit_rate
20260122,20260123,10,3,0.3,src=feature_history_v3;ranking=published_file:pred_top10_20260122.csv,published_file:pred_top10_20260122.csv,1,1,1.0,3,2,0.6667,5,3,0.6,10,3,0.3
20260123,20260126,10,3,0.3,src=feature_history_v3;ranking=published_file:pred_top10_20260123.csv,published_file:pred_top10_20260123.csv,1,0,0.0,3,1,0.3333,5,2,0.4,10,3,0.3
20260126,20260127,10,6,0.6,src=feature_history_v3;ranking=published_file:pred_top10_20260126.csv,published_file:pred_top10_20260126.csv,1,1,1.0,3,2,0.6667,5,4,0.8,10,6,0.6
20260127,20260128,10,2,0.2,src=feature_history_v3;ranking=published_file:pred_top10_20260127.csv,published_file:pred_top10_20260127.csv,1,0,0.0,3,0,0.0,5,1,0.2,10,2,0.2
20260128,20260129,10,4,0.4,src=feature_history_v3;ranking=published_file:pred_top10_20260128.csv,published_file:pred_top10_20260128.csv,1,0,0.0,3,1,0.3333,5,3,0.6,10,4,0.4
20260129,20260130,10,0,0.0,src=feature_history_v3;ranking=published_file:pred_top10_20260129.csv,published_file:pred_top10_20260129.csv,1,0,0.0,3,0,0.0,5,0,0.0,10,0,0.0
20260130,20260202,10,3,0.3,src=feature_history_v3;ranking=published_file:pred_top10_20260130.csv,published_file:pred_top10_20260130.csv,1,1,1.0,3,1,0.3333,5,2,0.4,10,3,0.3
20260202,20260203,10,6,0.6,src=feature_history_v3;ranking=published_file:pred_top10_20260202.csv,published_file:pred_top10_20260202.csv,1,0,0.0,3,2,0.6667,5,4,0.8,10,6,0.6
20260203,20260204,10,5,0.5,src=feature_history_v3;ranking=published_file:pred_top10_20260203.csv,published_file:pred_top10_20260203.csv,1,1,1.0,3,3,1.0,5,4,0.8,10,5,0.5
20260204,20260205,10,5,0.5,src=feature_history_v3;ranking=published_file:pred_top10_20260204.csv,published_file:pred_top10_20260204.csv,1,1,1.0,3,3,1.0,5,5,1.0,10,5,0.5
20260205,20260206,10,4,0.4,src=feature_history_v3;ranking=published_file:pred_top10_20260205.csv,published_file:pred_top10_20260205.csv,1,0,0.0,3,1,0.3333,5,2,0.4,10,4,0.4
20260206,20260209,10,6,0.6,src=feature_history_v3;ranking=published_file:pred_top10_20260206.csv,published_file:pred_top10_20260206.csv,1,1,1.0,3,3,1.0,5,4,0.8,10,6,0.6
20260209,20260210,10,6,0.6,src=feature_history_v3;ranking=published_file:pred_top10_20260209.csv,published_file:pred_top10_20260209.csv,1,0,0.0,3,2,0.6667,5,4,0.8,10,6,0.6
20260210,20260211,10,4,0.4,src=feature_history_v3;ranking=published_file:pred_top10_20260210.csv,published_file:pred_top10_20260210.csv,1,1,1.0,3,1,0.3333,5,2,0.4,10,4,0.4
20260211,20260212,10,7,0.7,src=feature_history_v3;ranking=published_file:pred_top10_20260211.csv,published_file:pred_top10_20260211.csv,1,0,0.0,3,1,0.3333,5,3,0.6,10,7,0.7
