ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit
000056.SZ,皇庭国际,其他商业,20260211,,2.17,,
000070.SZ,特发信息,通信设备,20260211,,17.73,,
000510.SZ,新金路,化工原料,20260211,,16.48,,
000525.SZ,红太阳,农药化肥,20260211,,6.76,,
000582.SZ,北部湾港,港口,20260211,,10.46,,
000657.SZ,中钨高新,小金属,20260211,,52.37,,
000659.SZ,珠海中富,广告包装,20260211,,4.84,,
000892.SZ,欢瑞世纪,影视音像,20260211,,9.87,,
000962.SZ,东方钽业,小金属,20260211,,44.54,,
001217.SZ,华尔泰,化工原料,20260211,,16.65,,
001267.SZ,汇绿生态,建筑工程,20260211,,28.93,,
001330.SZ,博纳影业,影视音像,20260211,,13.4,,
001359.SZ,平安电工,矿物制品,20260211,,85.2,,
001376.SZ,百通能源,供气供热,20260211,,21.13,,
001896.SZ,豫能控股,火力发电,20260211,,7.54,,
002012.SZ,凯恩股份,造纸,20260211,,7.39,,
002080.SZ,中材科技,玻璃,20260211,,45.34,,
002177.SZ,御银股份,其他商业,20260211,,8.72,,
002201.SZ,九鼎新材,玻璃,20260211,,13.76,,
002254.SZ,泰和新材,化纤,20260211,,13.64,,
002270.SZ,华明装备,电气设备,20260211,,34.75,,
002323.SZ,雅博股份,建筑工程,20260211,,2.38,,
002340.SZ,格林美,小金属,20260211,,9.5,,
002378.SZ,章源钨业,小金属,20260211,,27.64,,
002455.SZ,百川股份,化工原料,20260211,,14.83,,
002470.SZ,金正大,农药化肥,20260211,,2.27,,
002517.SZ,恺英网络,互联网,20260211,,25.97,,
002636.SZ,金安国纪,元器件,20260211,,26.6,,
002723.SZ,小崧股份,家用电器,20260211,,11.62,,
002757.SZ,南兴股份,专用机械,20260211,,24.52,,
002830.SZ,名雕股份,装修装饰,20260211,,27.72,,
002842.SZ,翔鹭钨业,小金属,20260211,,35.01,,
002886.SZ,沃特股份,塑料,20260211,,24.43,,
002905.SZ,金逸影视,影视音像,20260211,,13.54,,
002951.SZ,金时科技,广告包装,20260211,,16.1,,
003018.SZ,金富科技,塑料,20260211,,23.54,,
300819.SZ,聚杰微纤,纺织,20260211,,52.56,,
301526.SZ,国际复材,玻璃,20260211,,11.8,,
600176.SH,中国巨石,玻璃,20260211,,25.65,,
600186.SH,莲花控股,食品,20260211,,6.63,,
600292.SH,电投水电,水力发电,20260211,,15.49,,
600370.SH,三房巷,化工原料,20260211,,2.75,,
600397.SH,江钨装备,煤炭开采,20260211,,13.01,,
600545.SH,卓郎智能,纺织机械,20260211,,2.98,,
600583.SH,海油工程,石油开采,20260211,,7.17,,
600589.SH,大位科技,软件服务,20260211,,12.6,,
600683.SH,京投发展,区域地产,20260211,,7.21,,
600722.SH,金牛化工,化工原料,20260211,,10.34,,
600740.SH,山西焦化,焦炭加工,20260211,,4.81,,
600980.SH,北矿科技,专用机械,20260211,,26.44,,
601118.SH,海南橡胶,橡胶,20260211,,7.3,,
601121.SH,宝地矿业,普钢,20260211,,8.71,,
601599.SH,浙文影业,纺织,20260211,,5.08,,
603103.SH,横店影视,影视音像,20260211,,36.37,,
603125.SH,常青科技,化工原料,20260211,,20.17,,
603138.SH,海量数据,软件服务,20260211,,20.56,,
603150.SH,万朗磁塑,塑料,20260211,,61.75,,
603256.SH,宏和科技,玻璃,20260211,,66.61,,
603381.SH,永臻股份,电气设备,20260211,,29.89,,
603466.SH,风语筑,文教休闲,20260211,,11.28,,
603533.SH,掌阅科技,互联网,20260211,,31.09,,
603601.SH,再升科技,玻璃,20260211,,12.1,,
603608.SH,天创时尚,服饰,20260211,,11.5,,
603629.SH,利通电子,元器件,20260211,,57.12,,
603682.SH,锦和商管,房产服务,20260211,,7.73,,
603698.SH,航天工程,专用机械,20260211,,39.86,,
603729.SH,龙韵股份,广告包装,20260211,,23.76,,
603968.SH,醋化股份,化工原料,20260211,,15.68,,
603980.SH,吉华集团,染料涂料,20260211,,8.72,,
605006.SH,山东玻纤,玻璃,20260211,,9.27,,
605033.SH,美邦股份,农药化肥,20260211,,23.69,,
605287.SH,德才股份,装修装饰,20260211,,61.24,,
688035.SH,德邦科技,半导体,20260211,,61.82,,
