ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000070.SZ,特发信息,通信设备,20260212,,19.5,,,1,158222239.0,92500,100403,158222239.0
000533.SZ,顺钠股份,电气设备,20260212,,12.01,,,0,181546582.0,101721,101721,181546582.0
000534.SZ,万泽股份,生物制药,20260212,,34.9,,,1,,130051,,
000628.SZ,高新发展,建筑工程,20260212,,55.85,,,15,24986005.0,130654,141018,24986005.0
000767.SZ,晋控电力,火力发电,20260212,,3.62,,,0,83420004.0,100751,100751,83420004.0
000815.SZ,美利云,通信设备,20260212,,15.6,,,3,,92500,,
000833.SZ,粤桂股份,综合类,20260212,,22.46,,,2,18896473.0,95315,102157,18896473.0
000962.SZ,东方钽业,小金属,20260212,,48.99,,,2,10042950.0,134524,144409,10042950.0
001330.SZ,博纳影业,影视音像,20260212,,12.06,,,0,1325116945.0,,92500,1325116945.0
001896.SZ,豫能控股,火力发电,20260212,,8.29,,,0,453123963.0,92500,92500,453123963.0
002080.SZ,中材科技,玻璃,20260212,,49.87,,,4,69005418.0,133303,134900,69005418.0
002131.SZ,利欧股份,互联网,20260212,,9.08,,,0,790230130.0,135436,135436,790230130.0
002208.SZ,合肥城建,区域地产,20260212,,15.58,,,0,224010486.0,144848,144848,224010486.0
002248.SZ,华东数控,机床制造,20260212,,14.01,,,2,67986242.0,93224,95200,67986242.0
002272.SZ,川润股份,机械基件,20260212,,18.12,,,0,188564892.0,93000,93000,188564892.0
002323.SZ,雅博股份,建筑工程,20260212,,2.62,,,0,105713512.0,93712,93712,105713512.0
002342.SZ,巨力索具,机械基件,20260212,,17.15,,,0,2603361665.0,,92500,2603361665.0
002358.SZ,森源电气,电气设备,20260212,,8.28,,,1,,104700,,
002364.SZ,中恒电气,电气设备,20260212,,34.97,,,0,98368476.0,110812,110812,98368476.0
002378.SZ,章源钨业,小金属,20260212,,30.4,,,13,55510704.0,94142,140218,55510704.0
002478.SZ,常宝股份,钢加工,20260212,,11.31,,,0,14815885.0,103736,103736,14815885.0
002491.SZ,通鼎互联,通信设备,20260212,,10.29,,,1,,110018,,
002498.SZ,汉缆股份,电气设备,20260212,,6.15,,,3,15767370.0,105118,145218,15767370.0
002510.SZ,天汽模,汽车配件,20260212,,7.73,,,1,,92500,,
002518.SZ,科士达,电气设备,20260212,,55.8,,,0,126614552.0,111530,111530,126614552.0
002520.SZ,日发精机,机床制造,20260212,,6.71,,,2,46229491.0,100636,103912,46229491.0
002536.SZ,飞龙股份,汽车配件,20260212,,30.25,,,2,,93000,,
002615.SZ,哈尔斯,家居用品,20260212,,9.65,,,1,,93000,,
002702.SZ,海欣食品,食品,20260212,,6.24,,,1,3632928.0,,145309,3632928.0
002723.SZ,小崧股份,家用电器,20260212,,10.46,,,15,94495117.0,,140706,94495117.0
002759.SZ,天际股份,电气设备,20260212,,39.56,,,0,1883886957.0,,92500,1883886957.0
002796.SZ,世嘉科技,通信设备,20260212,,48.4,,,0,85894608.0,133006,133006,85894608.0
002824.SZ,和胜股份,铝,20260212,,24.9,,,0,115825288.0,100803,100803,115825288.0
002830.SZ,名雕股份,装修装饰,20260212,,24.95,,,4,19416389.0,,142718,19416389.0
002837.SZ,英维克,专用机械,20260212,,109.45,,,4,215512522.0,94139,111524,215512522.0
002842.SZ,翔鹭钨业,小金属,20260212,,38.51,,,1,32192511.0,104842,144412,32192511.0
002885.SZ,京泉华,元器件,20260212,,29.22,,,0,59876747.0,112127,112127,59876747.0
002905.SZ,金逸影视,影视音像,20260212,,12.19,,,7,4982540.0,,145051,4982540.0
002922.SZ,伊戈尔,电气设备,20260212,,46.38,,,0,41848024.0,130257,130257,41848024.0
002951.SZ,金时科技,广告包装,20260212,,17.71,,,0,134153250.0,93657,93657,134153250.0
002975.SZ,博杰股份,专用机械,20260212,,83.03,,,0,152363288.0,100021,100021,152363288.0
003036.SZ,泰坦股份,纺织机械,20260212,,18.81,,,1,,100312,,
300249.SZ,依米康,IT设备,20260212,,17.77,,,1,,93448,,
300277.SZ,海联讯,机械基件,20260212,,21.08,,,0,2572961.0,104421,104421,2572961.0
300749.SZ,顶固集创,家居用品,20260212,,27.45,,,1,,93815,,
300846.SZ,首都在线,软件服务,20260212,,33.76,,,0,207591759.0,132321,132321,207591759.0
301018.SZ,申菱环境,专用机械,20260212,,88.94,,,1,,100421,,
301217.SZ,铜冠铜箔,元器件,20260212,,36.96,,,1,,135048,,
301317.SZ,鑫磊股份,机械基件,20260212,,48.62,,,0,129479727.0,103018,103018,129479727.0
600026.SH,中远海能,水运,20260212,,18.73,,,4,6895618.0,103631,145034,6895618.0
600397.SH,江钨装备,煤炭开采,20260212,,14.31,,,0,189428567.0,93000,93000,189428567.0
600481.SH,双良节能,电气设备,20260212,,10.71,,,0,232765228.0,132656,132656,232765228.0
600490.SH,鹏欣资源,铜,20260212,,9.86,,,1,99275281.0,100849,102058,99275281.0
600545.SH,卓郎智能,纺织机械,20260212,,3.28,,,2,6612414.0,143844,144847,6612414.0
600589.SH,大位科技,软件服务,20260212,,13.86,,,0,426481999.0,92502,92502,426481999.0
600590.SH,泰豪科技,通信设备,20260212,,13.55,,,1,,131108,,
600673.SH,东阳光,综合类,20260212,,36.58,,,0,272626350.0,111654,111654,272626350.0
600711.SH,盛屯矿业,小金属,20260212,,16.98,,,2,,102734,,
600722.SH,金牛化工,化工原料,20260212,,9.31,,,9,13433399.0,,144645,13433399.0
600821.SH,金开新能,新型电力,20260212,,6.51,,,0,241630140.0,93000,93000,241630140.0
600875.SH,东方电气,电气设备,20260212,,33.65,,,12,,111333,,
600960.SH,渤海汽车,汽车配件,20260212,,5.67,,,0,126300786.0,112913,112913,126300786.0
601126.SH,四方股份,电气设备,20260212,,42.78,,,0,105874895.0,110826,110826,105874895.0
601231.SH,环旭电子,元器件,20260212,,42.08,,,0,128281721.0,100113,100113,128281721.0
601619.SH,嘉泽新能,新型电力,20260212,,5.86,,,0,62727092.0,131007,131007,62727092.0
601872.SH,招商轮船,水运,20260212,,13.22,,,3,64255545.0,93841,100032,64255545.0
603088.SH,宁波精达,机床制造,20260212,,12.76,,,0,93910971.0,94651,94651,93910971.0
603090.SH,宏盛股份,专用机械,20260212,,77.02,,,0,23498802.0,130015,130015,23498802.0
603103.SH,横店影视,影视音像,20260212,,32.73,,,1,323751184.0,,93124,323751184.0
603138.SH,海量数据,软件服务,20260212,,22.62,,,2,120505607.0,92502,101925,120505607.0
603155.SH,新亚强,化工原料,20260212,,18.72,,,1,,142325,,
603191.SH,望变电气,电气设备,20260212,,24.21,,,1,60938991.0,102008,102405,60938991.0
603256.SH,宏和科技,玻璃,20260212,,73.27,,,1,90984268.0,93756,93835,90984268.0
603308.SH,应流股份,机械基件,20260212,,67.29,,,1,58246224.0,105251,110551,58246224.0
603533.SH,掌阅科技,互联网,20260212,,34.2,,,0,586646280.0,92503,92503,586646280.0
603688.SH,石英股份,矿物制品,20260212,,47.47,,,2,47503229.0,101114,103750,47503229.0
603698.SH,航天工程,专用机械,20260212,,35.87,,,11,47437823.0,,130506,47437823.0
603729.SH,龙韵股份,广告包装,20260212,,21.38,,,0,55175366.0,,93648,55175366.0
603757.SH,大元泵业,机械基件,20260212,,44.45,,,0,65617445.0,92501,92501,65617445.0
603778.SH,国晟科技,电气设备,20260212,,13.91,,,0,3318926.0,,145656,3318926.0
603950.SH,长源东谷,汽车配件,20260212,,39.68,,,2,24911104.0,93046,100128,24911104.0
603959.SH,百利科技,建筑工程,20260212,,6.3,,,3,52149182.0,,100039,52149182.0
605006.SH,山东玻纤,玻璃,20260212,,10.2,,,0,70041360.0,94111,94111,70041360.0
605007.SH,五洲特纸,造纸,20260212,,14.94,,,1,,93812,,
605018.SH,长华集团,汽车配件,20260212,,12.58,,,0,37785288.0,133948,133948,37785288.0
605033.SH,美邦股份,农药化肥,20260212,,26.06,,,0,396508112.0,92503,92503,396508112.0
605069.SH,正和生态,环境保护,20260212,,14.37,,,1,,130610,,
605287.SH,德才股份,装修装饰,20260212,,67.36,,,5,3369279.0,141230,150000,3369279.0
605318.SH,法狮龙,其他建材,20260212,,75.11,,,1,31591266.0,132154,132733,31591266.0
688158.SH,优刻得-W,软件服务,20260212,,45.05,,,3,93480822.0,103403,112412,93480822.0
688480.SH,赛恩斯,环境保护,20260212,,98.72,,,0,28545776.0,111103,111103,28545776.0
688530.SH,欧莱新材,半导体,20260212,,33.05,,,1,,111127,,
