ts_code,name,industry,board,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount
000056.SZ,皇庭国际,其他商业,其他商业,20260421,U,2.07,2.07,1.69,2,7448274.0,101454,130342,7448274.0
000539.SZ,粤电力Ａ,火力发电,火力发电,20260421,U,6.39,6.39,5.23,0,130343341.0,102333,102333,130343341.0
000690.SZ,宝新能源,火力发电,火力发电,20260421,U,5.27,5.27,4.31,0,168664705.0,112918,112918,168664705.0
000715.SZ,中兴商业,百货,百货,20260421,U,6.27,6.27,5.13,0,45443956.0,144209,144209,45443956.0
000802.SZ,北京文化,影视音像,影视音像,20260421,U,4.46,4.46,3.65,0,129488067.0,93000,93000,129488067.0
000819.SZ,岳阳兴长,石油加工,石油加工,20260421,U,17.08,17.08,13.98,0,39749993.0,133212,133212,39749993.0
000980.SZ,众泰汽车,汽车配件,汽车配件,20260421,U,2.38,2.38,1.94,0,75258746.0,94439,94439,75258746.0
001268.SZ,联合精密,机械基件,机械基件,20260421,U,37.19,37.19,30.43,10,22920197.0,94106,141100,22920197.0
002081.SZ,金 螳 螂,装修装饰,装修装饰,20260421,U,4.49,4.49,3.67,0,259267533.0,93024,93024,259267533.0
002201.SZ,九鼎新材,玻璃,玻璃,20260421,U,13.93,13.93,11.39,0,171033278.0,145145,145145,171033278.0
002338.SZ,奥普光电,电器仪表,电器仪表,20260421,U,64.06,64.06,52.42,1,59527819.0,100521,130912,59527819.0
002342.SZ,巨力索具,机械基件,机械基件,20260421,U,21.42,21.42,17.52,0,163990684.0,145651,145651,163990684.0
002361.SZ,神剑股份,化工原料,化工原料,20260421,U,22.69,22.69,18.57,3,274986077.0,93615,142548,274986077.0
002565.SZ,顺灏股份,造纸,造纸,20260421,U,22.32,22.32,18.26,2,341198005.0,92500,95657,341198005.0
002752.SZ,昇兴股份,广告包装,广告包装,20260421,U,6.9,6.9,5.64,0,126140970.0,92500,92500,126140970.0
002846.SZ,英联股份,广告包装,广告包装,20260421,U,16.29,16.29,13.33,0,86170842.0,130521,130521,86170842.0
002853.SZ,皮阿诺,家居用品,家居用品,20260421,U,29.03,29.03,23.75,0,33622546.0,104454,104454,33622546.0
002950.SZ,奥美医疗,医疗保健,医疗保健,20260421,U,14.38,14.38,11.76,0,167022262.0,111136,111136,167022262.0
002952.SZ,亚世光电,元器件,元器件,20260421,U,27.29,27.29,22.33,0,109290992.0,102512,102512,109290992.0
002982.SZ,湘佳股份,农业综合,农业综合,20260421,U,15.54,15.54,12.72,0,164796478.0,141712,141712,164796478.0
003018.SZ,金富科技,塑料,塑料,20260421,U,47.45,47.45,38.83,2,57609045.0,93621,94539,57609045.0
003027.SZ,同兴科技,环境保护,环境保护,20260421,U,25.15,25.15,20.57,0,83614670.0,105051,105051,83614670.0
300067.SZ,安诺其,染料涂料,染料涂料,20260421,U,5.05,5.05,3.37,0,572928782.0,92500,92500,572928782.0
300533.SZ,冰川网络,互联网,互联网,20260421,U,30.58,30.58,20.38,0,111179155.0,101303,101303,111179155.0
301022.SZ,海泰科,专用机械,专用机械,20260421,U,33.4,33.4,22.26,0,57299770.0,93000,93000,57299770.0
301486.SZ,致尚科技,元器件,元器件,20260421,U,209.06,209.06,139.38,4,89126041.0,130321,141000,89126041.0
600032.SH,浙江新能,新型电力,新型电力,20260421,U,10.86,10.86,8.88,0,138047976.0,112516,112516,138047976.0
600103.SH,青山纸业,造纸,造纸,20260421,U,5.2,5.2,4.26,0,182609408.0,103916,103916,182609408.0
600261.SH,阳光照明,家用电器,家用电器,20260421,U,4.07,4.07,3.33,1,37928330.0,104747,105032,37928330.0
600308.SH,华泰股份,造纸,造纸,20260421,U,4.14,4.14,3.38,0,52894213.0,130144,130144,52894213.0
600396.SH,华电辽能,火力发电,火力发电,20260421,U,8.13,8.13,6.65,0,74378931.0,112616,112616,74378931.0
600520.SH,三佳科技,半导体,半导体,20260421,U,30.5,30.5,24.96,0,109176275.0,145544,145544,109176275.0
600678.SH,四川金顶,水泥,水泥,20260421,U,11.87,11.87,9.71,2,80038211.0,93115,93245,80038211.0
600699.SH,均胜电子,汽车配件,汽车配件,20260421,U,28.71,28.71,23.49,0,316362495.0,142715,142715,316362495.0
600715.SH,文投控股,影视音像,影视音像,20260421,U,2.22,2.22,1.82,1,22949916.0,100237,100607,22949916.0
600736.SH,苏州高新,园区开发,园区开发,20260421,U,6.92,6.92,5.66,0,133536790.0,95241,95241,133536790.0
600961.SH,株冶集团,铅锌,铅锌,20260421,U,26.73,26.73,21.87,0,534902049.0,92501,92501,534902049.0
600979.SH,广安爱众,水力发电,水力发电,20260421,U,5.32,5.32,4.36,1,36972398.0,112713,134404,36972398.0
603016.SH,新宏泰,电气设备,电气设备,20260421,U,55.23,55.23,45.19,1,50148729.0,94220,94348,50148729.0
603017.SH,中衡设计,建筑工程,建筑工程,20260421,U,15.63,15.63,12.79,1,93006315.0,93000,93021,93006315.0
603030.SH,全筑股份,装修装饰,装修装饰,20260421,U,2.57,2.57,2.11,2,22364140.0,93706,93845,22364140.0
603115.SH,海星股份,铝,铝,20260421,U,48.69,48.69,39.83,0,88104798.0,104603,104603,88104798.0
603178.SH,圣龙股份,汽车配件,汽车配件,20260421,U,21.08,21.08,17.24,2,110807020.0,93932,94105,110807020.0
603335.SH,迪生力,汽车配件,汽车配件,20260421,U,7.37,7.37,6.03,0,35961915.0,93421,93421,35961915.0
603738.SH,泰晶科技,元器件,元器件,20260421,U,34.67,34.67,28.37,1,106441164.0,95534,100225,106441164.0
603788.SH,宁波高发,汽车配件,汽车配件,20260421,U,17.44,17.44,14.27,0,41395584.0,134315,134315,41395584.0
603815.SH,交建股份,建筑工程,建筑工程,20260421,U,7.07,7.07,5.79,1,88850104.0,100106,102133,88850104.0
