ts_code,name,industry,board,晋阶,limit_times,advance_stage,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,up_stat,turnover_ratio,amount,float_mv,total_mv,seal_amount,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,trade_date_intraday,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,late_volume_ratio,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag,intraday_available,_matched_key,limitup_quality_is_default,limitup_quality_score_raw,intraday_risk_is_default,intraday_risk_score_raw,late_withdraw_is_default,late_withdraw_score_raw,reseal_is_default,reseal_score_raw,reseal_score,open_board_count_is_default,open_board_count_raw,seal_stability_score,auction_strength_is_default,auction_strength_score_raw,auction_strength_score,auction_real_volume_score,volatility_risk_score,open_board_risk_score,weak_reseal_risk_score,auction_fake_strength_score,intraday_source_date,intraday_feature_version,intraday_matched_key,intraday_status,intraday_data_status,intraday_missing_reason,auction_available,auction_data_status,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_confidence_score,intraday_bonus,intraday_risk_penalty,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,risk_level,risk_label,risk_tags
000506.SZ,招金黄金,贵金属,贵金属,2→3,2.0,2→3,20260703,U,13.87,13.87,11.35,0,147919264.0,93051,93051,2/2,2.92,371842192.0,12881165549.07,12885476331.2,147919264.0,0.92,0.015,0.35,limit_list_d,20260703,1min,241,1,09:31:00,15:00:00,1,0.0,2.6676,0,,0.0,48.9942,0.02526,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,000506.SZ,0,71.1983,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,000506.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000576.SZ,甘化科工,地面兵装,地面兵装,2→3,2.0,2→3,20260703,U,8.14,8.14,6.66,0,42263694.0,94121,94121,2/2,5.63,193318059.0,3531256224.54,3552444213.12,42263694.0,0.92,0.015,0.35,limit_list_d,20260703,1min,241,1,09:42:00,15:00:00,1,0.0,2.8256,0,,0.0,48.0467,0.028861,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,000576.SZ,0,70.914,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,000576.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000595.SZ,宝塔实业,电力,电力,2→3,2.0,2→3,20260703,U,6.24,6.24,5.1,0,93156960.0,92500,92500,2/2,1.34,94916640.0,7105215723.84,7105215736.32,93156960.0,0.92,0.015,0.35,limit_list_d,20260703,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,0.007639,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,000595.SZ,0,76.0,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,000595.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000656.SZ,金科股份,房地产开发,房地产开发,2→3,2.0,2→3,20260703,U,1.3,1.3,1.06,0,226954312.0,92500,92500,2/2,0.07,6747208.0,9863553709.1,13765351142.4,226954312.0,0.92,0.015,0.35,limit_list_d,20260703,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,0.013866,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,000656.SZ,0,76.0,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,000656.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000908.SZ,石药景峰,化学制药,化学制药,2→3,2.0,2→3,20260703,U,6.88,6.88,5.63,1,15212987.0,93509,142430,2/2,8.86,519854544.0,6052846158.88,12105695083.52,15212987.0,0.92,0.015,0.35,limit_list_d,20260703,1min,241,1,09:35:00,15:00:00,4,2.0,6.8314,2,144.0,20.0,7.0116,0.020789,0.0,31,0.0,54.0,1.0,1.0,weak_limitup,1.0,000908.SZ,0,51.4035,0,42.3,0,0.0,1,,0.5,0,2.0,0.5,1,,0.5,0.5,0.0,0.4,0.5,0.0,20260703,intraday_refine_v2,000908.SZ,ok,ok,,1,ok,0.765,0.2,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
000975.SZ,山金国际,贵金属,贵金属,1→2,1.0,1→2,20260703,U,19.84,19.84,16.24,3,80435328.0,93142,94518,1/1,2.65,1322045072.0,50061028369.28,55006944409.6,80435328.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,09:31:00,15:00:00,3,3.0,2.4698,3,2.6667,91.6667,46.2648,0.01462,0.0,31,0.0,58.3333,1.0,1.0,high_open_board_risk,1.0,000975.SZ,0,65.1294,0,31.4333,0,0.0,1,,0.5,0,3.0,0.5,1,,0.5,0.5,0.0,0.6,0.5,0.0,20260703,intraday_refine_v2,000975.SZ,ok,ok,,1,ok,0.7350000000000001,0.25,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001268.SZ,联合精密,家电零部,家电零部,1→2,1.0,1→2,20260703,U,39.4,39.4,32.24,0,44141396.0,111209,111209,1/1,3.95,100654747.0,2666299809.6,4252573359.6,44141396.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,11:13:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,0.007659,0.0,31,0.0,45.0,1.0,1.0,neutral_limitup,1.0,001268.SZ,0,64.75,0,12.0,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,001268.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001270.SZ,铖昌科技,军工电子,军工电子,1→2,1.0,1→2,20260703,U,163.32,163.32,133.62,0,179923274.0,93333,93333,1/1,2.27,744642176.0,33448467769.92,33662685631.32,179923274.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,09:34:00,15:00:00,1,0.0,2.1185,0,,0.0,52.2888,0.028016,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,001270.SZ,0,72.1866,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,001270.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001306.SZ,夏厦精密,通用设备,通用设备,1→2,1.0,1→2,20260703,U,63.29,63.29,51.79,1,31277981.0,93627,101400,1/1,9.76,93723151.0,980980759.75,3977814474.0,31277981.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,09:37:00,15:00:00,2,0.0,4.8665,0,,0.0,35.8011,0.010512,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,001306.SZ,0,67.2403,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,001306.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001317.SZ,三羊马,铁路公路,铁路公路,2→3,2.0,2→3,20260703,U,48.43,48.43,39.63,0,78834693.0,93309,93309,2/2,4.84,196911698.0,4139865315.89,4143951597.14,78834693.0,0.92,0.015,0.35,limit_list_d,20260703,1min,241,1,09:34:00,15:00:00,1,0.0,0.2891,0,,0.0,63.2655,0.016232,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1.0,001317.SZ,0,75.4797,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,001317.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001337.SZ,四川黄金,贵金属,贵金属,1→2,1.0,1→2,20260703,U,41.21,41.21,33.71,0,95153890.0,93354,93354,1/1,2.34,399043360.0,17308200000.0,17308200000.0,95153890.0,0.78,0.035,0.16,limit_list_d,20260703,1min,241,1,09:34:00,15:00:00,1,0.0,0.9464,0,,0.0,59.3218,0.029412,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1.0,001337.SZ,0,74.2965,0,8.25,0,0.0,1,,0.5,0,0.0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260703,intraday_refine_v2,001337.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
