ts_code,name,industry,board,晋阶,limit_times,advance_stage,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,up_stat,turnover_ratio,amount,float_mv,total_mv,seal_amount,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,trade_date_intraday,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,intraday_vwap,intraday_vwap_position,late_volume_ratio,late_price_change_pct,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag,intraday_available,_matched_key,limitup_quality_is_default,limitup_quality_score_raw,intraday_risk_is_default,intraday_risk_score_raw,late_withdraw_is_default,late_withdraw_score_raw,reseal_is_default,reseal_score_raw,reseal_score,open_board_count_is_default,open_board_count_raw,seal_stability_score,auction_strength_is_default,auction_strength_score_raw,auction_strength_score,auction_real_volume_score,volatility_risk_score,open_board_risk_score,weak_reseal_risk_score,auction_fake_strength_score,intraday_source_date,intraday_feature_version,intraday_matched_key,intraday_status,intraday_data_status,intraday_missing_reason,auction_available,auction_data_status,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_confidence_score,intraday_bonus,intraday_risk_penalty,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,risk_level,risk_label,risk_tags
000973.SZ,佛塑科技,塑料,塑料,1→2,1.0,1→2,20260707,U,14.58,14.58,11.93,3,49664816.0,93103,134503,1/1,10.3,1442843984.0,14105029833.18,35841092077.44,49664816.0,0.78,0.035,0.16,limit_list_d,20260707,1min,241,1,09:31:00,15:00:00,8,5.0,3.9095,5,14.8,52.6,0.0,14.4832,0.6682,0.007495,0.0,0.0,31,0.0,30.52,1.0,1.0,high_open_board_risk,1,000973.SZ,0,38.734,0,57.272,0,0.0,1,,0.5,0,5,0.5,1,,0.5,0.5,0.0,1.0,0.5,0.0,20260707,intraday_refine_v2,000973.SZ,ok,ok,,1,ok,0.675,0.35,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001206.SZ,依依股份,个护用品,个护用品,1→2,1.0,1→2,20260707,U,19.54,19.54,15.98,0,24730253.0,95230,95230,1/1,7.6,154515203.0,2088131509.32,3612825008.32,24730253.0,0.78,0.035,0.16,limit_list_d,20260707,1min,241,1,09:53:00,15:00:00,1,0.0,1.2794,0,,0.0,57.3234,19.0321,2.6688,0.012955,0.0,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1,001206.SZ,0,73.697,0,8.25,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260707,intraday_refine_v2,001206.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001229.SZ,魅视科技,计算机设,计算机设,1→2,1.0,1→2,20260707,U,38.82,38.82,31.76,0,119577983.0,93006,93006,1/1,2.47,70328792.0,2863021778.1,5568034122.0,119577983.0,0.78,0.035,0.16,limit_list_d,20260707,1min,241,1,09:31:00,15:00:00,1,0.0,1.0046,0,,0.0,58.9722,38.6108,0.5419,0.026177,0.0,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1,001229.SZ,0,74.1917,0,8.25,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260707,intraday_refine_v2,001229.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001230.SZ,劲旅环境,环境治理,环境治理,1→2,1.0,1→2,20260707,U,17.42,17.42,14.26,1,30203980.0,131054,131821,1/1,5.32,97822555.0,1915830312.76,3271066264.18,30203980.0,0.78,0.035,0.16,limit_list_d,20260707,1min,241,1,13:11:00,15:00:00,2,1.0,3.6165,1,7.0,78.0,58.6008,16.7099,4.2493,0.033706,0.0,0.0,31,0.0,50.6,1.0,1.0,neutral_limitup,1,001230.SZ,0,65.3502,0,20.61,0,0.0,1,,0.5,0,1,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260707,intraday_refine_v2,001230.SZ,ok,ok,,1,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001311.SZ,多利科技,汽车零部件,汽车零部件,1→2,1.0,1→2,20260707,U,19.67,19.67,16.09,0,58479736.0,93145,93145,1/1,1.94,66098081.0,3484158193.88,7940034057.76,58479736.0,0.78,0.035,0.16,limit_list_d,20260707,1min,241,1,09:32:00,15:00:00,1,0.0,4.0163,0,,0.0,40.9024,19.2313,2.281,0.026019,0.0,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1,001311.SZ,0,68.7707,0,8.25,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260707,intraday_refine_v2,001311.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
001365.SZ,天海电子,汽车零部件,汽车零部件,1→2,1.0,1→2,20260707,U,43.46,43.46,35.56,0,166659756.0,93818,93818,1/1,13.72,337661968.0,2499195375.16,22816500000.0,166659756.0,0.78,0.035,0.16,limit_list_d,20260707,1min,241,1,09:39:00,15:00:00,1,0.0,1.5186,0,,0.0,55.8882,42.7987,1.5452,0.013828,0.0,0.0,31,0.0,70.0,1.0,1.0,neutral_limitup,1,001365.SZ,0,73.2665,0,8.25,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260707,intraday_refine_v2,001365.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002129.SZ,TCL中环,光伏设备,光伏设备,1→2,1.0,1→2,20260707,U,11.02,11.02,9.02,1,138748114.0,100524,132657,1/1,8.74,3797452160.0,44518373396.0,44555135851.52,138748114.0,0.78,0.035,0.16,limit_list_d,20260707,1min,241,1,10:06:00,15:00:00,2,1.0,2.5408,1,24.0,41.0,52.105,10.759,2.4257,0.014485,0.0,0.0,31,0.0,55.2,1.0,1.0,neutral_limitup,1,002129.SZ,0,65.4715,0,29.17,0,0.0,1,,0.5,0,1,0.5,1,,0.5,0.5,0.0,0.2,0.5,0.0,20260707,intraday_refine_v2,002129.SZ,ok,ok,,1,ok,0.795,0.15000000000000002,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002137.SZ,实益达,光学光电,光学光电,1→2,1.0,1→2,20260707,U,11.43,11.43,9.35,5,60222395.0,95357,131354,1/1,25.26,1120029792.0,4531515865.83,6600880412.64,60222395.0,0.78,0.035,0.16,limit_list_d,20260707,1min,241,1,09:54:00,15:00:00,3,2.0,3.762,2,3.5,92.0,50.6278,11.1856,2.1847,0.010878,0.0,0.0,31,0.0,68.4,1.0,1.0,neutral_limitup,1,002137.SZ,0,70.9683,0,22.14,0,0.0,1,,0.5,0,2,0.5,1,,0.5,0.5,0.0,0.4,0.5,0.0,20260707,intraday_refine_v2,002137.SZ,ok,ok,,1,ok,0.765,0.2,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002185.SZ,华天科技,半导体,半导体,1→2,1.0,1→2,20260707,U,21.93,21.93,17.95,5,419434451.0,103015,131618,1/1,16.93,11999102720.0,72865753031.01,72882679898.88,419434451.0,0.78,0.035,0.16,limit_list_d,20260707,1min,241,1,10:31:00,15:00:00,5,5.0,1.6872,5,4.2,89.2,26.0969,21.3265,2.8299,0.006718,0.0,0.0,31,0.0,24.84,1.0,1.0,high_open_board_risk,1,002185.SZ,0,44.0071,0,48.974,0,0.0,1,,0.5,0,5,0.5,1,,0.5,0.5,0.0,1.0,0.5,0.0,20260707,intraday_refine_v2,002185.SZ,ok,ok,,1,ok,0.675,0.35,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
002497.SZ,雅化集团,化学制品,化学制品,1→2,1.0,1→2,20260707,U,24.65,24.65,20.17,0,370881435.0,92500,92500,1/1,1.67,437457072.0,26118834709.75,28410666315.2,370881435.0,0.78,0.035,0.16,limit_list_d,20260707,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,24.65,0.0,0.084094,0.0,0.0,31,0.0,70.0,1.0,1.0,healthy_limitup,1,002497.SZ,0,76.0,0,8.25,0,0.0,1,,0.5,0,0,0.5,1,,0.5,0.5,0.0,0.0,0.5,0.0,20260707,intraday_refine_v2,002497.SZ,ok,ok,,1,ok,0.8250000000000001,0.1,0,0.75,0.0,0.0,0.0,0.0,0.0,中,分时缺失,分时缺失
