ts_code,name,industry,board,晋阶,limit_times,advance_stage,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,up_stat,turnover_ratio,amount,float_mv,total_mv,seal_amount,stage_quality_weight,stage_risk_weight,stage_prior,stage_source,minute_freq,minute_rows,has_minute_data,first_limit_time,last_limit_time,limit_touch_count,open_board_count,max_drawdown_after_limit,reseal_count,reseal_minutes_avg,reseal_speed_score,reseal_acceptance_score,intraday_vwap,intraday_vwap_position,late_volume_ratio,late_price_change_pct,late_price_weakness,late_limit_hold_minutes,late_withdraw_score,limitup_path_score,limitup_quality_score,intraday_risk_score,intraday_tag,intraday_available,_matched_key,_limitup_quality_score_provided,limitup_quality_is_default,limitup_quality_score_source_raw,limitup_quality_score_raw,_intraday_risk_score_provided,intraday_risk_is_default,intraday_risk_score_source_raw,intraday_risk_score_raw,_late_withdraw_score_provided,late_withdraw_is_default,late_withdraw_score_source_raw,late_withdraw_score_raw,_reseal_score_provided,reseal_is_default,reseal_score_source_raw,reseal_score_raw,reseal_score,_open_board_count_provided,open_board_count_is_default,open_board_count_source_raw,open_board_count_raw,_seal_stability_score_provided,seal_stability_score,_auction_strength_score_provided,auction_strength_is_default,auction_strength_score_source_raw,auction_strength_score_raw,auction_strength_score,_auction_real_volume_score_provided,auction_real_volume_score,_volatility_risk_score_provided,volatility_risk_score,open_board_risk_score,weak_reseal_risk_score,auction_fake_strength_score,intraday_source_date,intraday_feature_version,intraday_matched_key,_intraday_feature_valid_count,_intraday_code_match,intraday_status,intraday_data_status,intraday_missing_reason,_auction_source_auction_strength_score_provided,_auction_source_auction_real_volume_score_provided,auction_available,intraday_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_confidence_score,intraday_bonus,intraday_risk_penalty,intraday_soft_risk_penalty,intraday_hard_risk_penalty,intraday_total_penalty,auction_data_status,risk_level,risk_label,risk_tags,auction_matched_key
000011.SZ,深物业A,房地产开发,房地产开发,1→2,1.0,1→2,20260828,U,9.15,9.15,7.49,0,80429415.0,102109,102109,1/1,2.3,107880201.0,4817251218.45,5453208655.2,80429415.0,0.78,0.035,0.16,limit_list_d,1min,241,1,10:22:00,15:00:00,1,0.0,2.0765,0,,0.0,52.541,8.9284,2.482,0.060284,0.0,0.0,31,0.0,57.0,0.664123,0.09491800000000002,neutral_limitup,1,000011.SZ,1.0,0,66.4123,0.664123,1.0,0,10.2,0.102,1.0,0,0.0,0.0,1.0,0,52.541,0.5254099999999999,0.5254099999999999,1.0,0,0.0,0.0,1.0,0.57,0.0,0,,,0.4644230769230762,0.0,0.5,0.0,0.0,0.0,0.47459000000000007,0.0,20260828,intraday_refine_v2,000011.SZ,6.0,1.0,ok,ok,,1,0,1,0.7239823615384614,0.09491800000000002,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,000011.SZ
000017.SZ,深中华A,饰品,饰品,7→8,7.0,7→8,20260828,U,11.45,11.45,9.37,14,10069130.0,93300,144706,7/7,25.08,1253143472.0,5047411338.95,7891167425.6,10069130.0,0.72,0.16,0.35,limit_list_d,1min,241,1,09:33:00,15:00:00,4,7.0,3.4934,7,1.5714,97.1429,0.0,11.3334,1.0285,0.058987,0.0,0.0,31,0.0,19.4286,0.337429,0.45,high_open_board_risk,1,000017.SZ,1.0,0,33.7429,0.337429,1.0,0,47.8,0.478,1.0,0,0.0,0.0,1.0,0,0.0,0.0,0.0,1.0,0,7.0,7.0,1.0,0.194286,0.0,0,,,0.8938040345821328,0.0,0.5,0.0,0.0,1.0,1.0,0.0,20260828,intraday_refine_v2,000017.SZ,6.0,1.0,ok,ok,,1,0,1,0.4352993051873199,0.45,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,000017.SZ
000059.SZ,华锦股份,炼化及贸,炼化及贸,1→2,1.0,1→2,20260828,U,5.57,5.57,4.55,1,7013844.0,93306,100851,1/1,6.13,539433632.0,8908730337.59,8908894970.08,7013844.0,0.78,0.035,0.16,limit_list_d,1min,241,1,09:34:00,15:00:00,2,1.0,3.5907,1,21.0,44.0,46.856,5.4994,1.2838,0.042915,0.0,0.0,31,0.0,68.8,0.700168,0.19784999999999997,neutral_limitup,1,000059.SZ,1.0,0,70.0168,0.700168,1.0,0,26.38,0.2638,1.0,0,0.0,0.0,1.0,0,46.856,0.46856000000000003,0.46856000000000003,1.0,0,1.0,1.0,1.0,0.688,0.0,0,,,0.5567193675889335,0.0,0.5,0.0,0.0,0.2,0.5314399999999999,0.0,20260828,intraday_refine_v2,000059.SZ,6.0,1.0,ok,ok,,1,0,1,0.70727030513834,0.15628799999999998,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,000059.SZ
000062.SZ,深圳华强,其他电子,其他电子,1→2,1.0,1→2,20260828,U,24.85,24.85,20.33,0,74743830.0,110209,110209,1/1,5.83,1472468304.0,25962332668.3,25990846800.8,74743830.0,0.78,0.035,0.16,limit_list_d,1min,241,1,11:03:00,15:00:00,1,0.0,1.1268,0,,0.0,58.2394,24.1548,2.8781,0.030681,0.0,0.0,31,0.0,45.0,0.627218,0.09,neutral_limitup,1,000062.SZ,1.0,0,62.7218,0.627218,1.0,0,12.0,0.12,1.0,0,0.0,0.0,1.0,0,58.2394,0.5823940000000001,0.5823940000000001,1.0,0,0.0,0.0,1.0,0.45,0.0,0,,,0.4871845949535188,0.0,0.5,0.0,0.0,0.0,0.4176059999999999,0.0,20260828,intraday_refine_v2,000062.SZ,6.0,1.0,ok,ok,,1,0,1,0.7277218892430278,0.08352119999999999,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,000062.SZ
000560.SZ,我爱我家,房地产服务,房地产服务,1→2,1.0,1→2,20260828,U,2.64,2.64,2.16,0,152262364.0,94418,94418,2/4,10.62,642316336.0,6184696634.16,6218522238.72,152262364.0,0.78,0.035,0.16,limit_list_d,1min,241,1,09:45:00,15:00:00,1,0.0,1.8939,0,,0.0,53.6364,2.5827,2.2204,0.009488,0.0,0.0,31,0.0,70.0,0.725909,0.0927272,neutral_limitup,1,000560.SZ,1.0,0,72.5909,0.725909,1.0,0,8.25,0.0825,1.0,0,0.0,0.0,1.0,0,53.6364,0.5363640000000001,0.5363640000000001,1.0,0,0.0,0.0,1.0,0.7,0.0,0,,,0.6750000000000006,0.0,0.5,0.0,0.0,0.0,0.46363599999999994,0.0,20260828,intraday_refine_v2,000560.SZ,6.0,1.0,ok,ok,,1,0,1,0.7762955000000001,0.0927272,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,000560.SZ
000565.SZ,渝三峡Ａ,化学制品,化学制品,1→2,1.0,1→2,20260828,U,6.62,6.62,5.42,0,57564905.0,144406,144406,1/1,5.35,146280396.0,2870380496.4,2870380522.88,57564905.0,0.78,0.035,0.16,limit_list_d,1min,241,1,14:45:00,15:00:00,1,0.0,2.568,0,,0.0,49.5921,6.3079,4.9474,0.643281,7.8176,0.0,16,0.953905,0.0,0.1603,0.3869873,late_withdraw_risk,1,000565.SZ,1.0,0,16.03,0.1603,1.0,0,42.5976,0.425976,1.0,0,95.3905,0.953905,1.0,0,49.5921,0.495921,0.495921,1.0,0,0.0,0.0,1.0,0.0,0.0,0,,,0.4699335548172765,0.0,0.5,0.0,0.0,0.0,0.5040789999999999,0.0,20260828,intraday_refine_v2,000565.SZ,6.0,1.0,ok,ok,,1,0,1,0.3769832332225915,0.3869873,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,000565.SZ
000567.SZ,海德股份,多元金融,多元金融,1→2,1.0,1→2,20260828,U,7.01,7.01,5.73,0,56821062.0,131012,131012,1/1,4.35,568131936.0,13660839593.64,13701691041.6,56821062.0,0.78,0.035,0.16,limit_list_d,1min,241,1,13:11:00,15:00:00,1,0.0,0.7133,0,,0.0,60.7204,6.7054,4.5419,0.013265,0.0,0.0,31,0.0,45.0,0.6346609999999999,0.09,neutral_limitup,1,000567.SZ,1.0,0,63.4661,0.6346609999999999,1.0,0,12.0,0.12,1.0,0,0.0,0.0,1.0,0,60.7204,0.607204,0.607204,1.0,0,0.0,0.0,1.0,0.45,0.0,0,,,0.5724489795918369,0.0,0.5,0.0,0.0,0.0,0.39279600000000003,0.0,20260828,intraday_refine_v2,000567.SZ,6.0,1.0,ok,ok,,1,0,1,0.7477064469387756,0.07855920000000001,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,000567.SZ
000626.SZ,远大控股,物流,物流,1→2,1.0,1→2,20260828,U,9.41,9.41,7.7,0,18656783.0,130942,130942,1/1,5.87,271272592.0,4745583175.11,4767358790.24,18656783.0,0.78,0.035,0.16,limit_list_d,1min,241,1,13:10:00,15:00:00,1,0.0,1.0627,0,,0.0,58.6238,9.1569,2.7641,0.025563,0.0,0.0,31,0.0,45.0,0.628371,0.09,neutral_limitup,1,000626.SZ,1.0,0,62.8371,0.628371,1.0,0,12.0,0.12,1.0,0,0.0,0.0,1.0,0,58.6238,0.586238,0.586238,1.0,0,0.0,0.0,1.0,0.45,0.0,0,,,0.45,0.0,0.5,0.0,0.0,0.0,0.41376199999999996,0.0,20260828,intraday_refine_v2,000626.SZ,6.0,1.0,ok,ok,,1,0,1,0.7232589,0.0827524,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,000626.SZ
000712.SZ,锦龙股份,证券Ⅱ,证券Ⅱ,3→4,3.0,3→4,20260828,U,11.8,11.8,9.66,0,237252275.0,92500,92500,3/3,1.69,178845225.0,10569662675.0,10572800000.0,237252275.0,1.1,0.0,0.43,limit_list_d,1min,241,1,09:30:00,15:00:00,1,0.0,0.0,0,,0.0,65.0,11.8,-0.0,0.060338,0.0,0.0,31,0.0,70.0,0.76,0.06999999999999999,healthy_limitup,1,000712.SZ,1.0,0,76.0,0.76,1.0,0,8.25,0.0825,1.0,0,0.0,0.0,1.0,0,65.0,0.65,0.65,1.0,0,0.0,0.0,1.0,0.7,0.0,0,,,1.0,0.0,0.5,0.0,0.0,0.0,0.35,0.0,20260828,intraday_refine_v2,000712.SZ,6.0,1.0,ok,ok,,1,0,1,0.858,0.06999999999999999,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,000712.SZ
000716.SZ,黑芝麻,休闲食品,休闲食品,1→2,1.0,1→2,20260828,U,5.67,5.67,4.64,1,42522040.0,104854,130403,1/1,10.37,419217200.0,4171555856.79,4268852552.16,42522040.0,0.78,0.035,0.16,limit_list_d,1min,241,1,10:49:00,15:00:00,1,1.0,1.0582,1,1.0,100.0,81.6508,5.4931,3.2205,0.025411,0.0,0.0,31,0.0,67.0,0.796452,0.094875,healthy_limitup,1,000716.SZ,1.0,0,79.6452,0.796452,1.0,0,12.65,0.1265,1.0,0,0.0,0.0,1.0,0,81.6508,0.816508,0.816508,1.0,0,1.0,1.0,1.0,0.67,0.0,0,,,0.4383495145631063,0.0,0.5,0.0,0.0,0.2,0.183492,0.0,20260828,intraday_refine_v2,000716.SZ,6.0,1.0,ok,ok,,1,0,1,0.787989627184466,0.08669840000000001,0,1.0,0.0,0.0,0.0,0.0,0.0,ok,中,分时缺失,分时缺失,000716.SZ
