ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount_x,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,seal_amount_y,seal_amount,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
603488.SH,展鹏科技,运输设备,20260127,U,10.59,10.59,8.67,0.0,76946728.0,130951,130951,76946728.0,9.9688,217673.009,218928.6,11.9104,11.9104,,309217.876,1.74,,1,76946728.0,76946728.0,0.9622641509433962,0.9433962264150944,0.7735849056603774,0.39622641509433965,0.5094339622641509,0.5094339622641509,0.05,0.0,79.754717
002155.SZ,湖南黄金,黄金,20260127,U,27.8,27.8,22.74,0.0,3154449181.0,92500,92500,3154449181.0,10.0119,84556.619,30416.05,0.2998,0.2998,,4344170.6585,0.06,50856044.27,1,3154449181.0,3154449181.0,0.22641509433962265,1.0,1.0,1.0,0.5094339622641509,0.5094339622641509,0.05,0.0,77.339623
605288.SH,凯迪股份,电气设备,20260127,U,131.42,131.42,107.52,0.0,59617368.0,103728,103728,59617368.0,10.0025,154172.043,12187.6,6.5634,6.5634,,928784.7237,0.66,,1,59617368.0,59617368.0,0.33962264150943394,0.9622641509433962,0.9622641509433962,0.9433962264150944,0.5094339622641509,0.5094339622641509,0.05,0.0,77.188679
600475.SH,华光环能,电气设备,20260127,U,21.48,21.48,17.58,0.0,102932804.0,134236,134236,102932804.0,9.9846,627521.886,309877.76,10.4475,10.4475,,2053414.3859,1.08,,1,102932804.0,102932804.0,0.7830188679245284,0.7547169811320755,0.7924528301886793,0.7358490566037735,0.5094339622641509,0.5094339622641509,0.05,0.0,74.716981
002634.SZ,棒杰股份,服饰,20260127,U,5.91,5.91,4.83,0.0,17996541.0,93451,93451,17996541.0,10.0559,92884.22,159342.6,4.647,4.647,,271477.3352,0.89,,1,17996541.0,17996541.0,0.1509433962264151,0.9811320754716981,0.9811320754716981,0.8018867924528302,0.5094339622641509,0.5094339622641509,0.05,0.0,73.528302
603929.SH,亚翔集成,装修装饰,20260127,U,149.6,149.6,122.4,0.0,93769280.0,103928,103928,93769280.0,10.0,832501.754,57621.0,6.6597,6.6597,,3191865.6,0.68,,1,93769280.0,93769280.0,0.4716981132075472,0.6792452830188679,0.9433962264150944,0.9150943396226415,0.5094339622641509,0.5094339622641509,0.05,0.0,71.603774
603052.SH,可川科技,元器件,20260127,U,56.43,56.43,46.17,0.0,117126559.0,103004,103004,117126559.0,10.0,444440.995,82543.16,13.2927,13.2927,,1060304.3623,0.74,,1,117126559.0,117126559.0,0.4716981132075472,0.8490566037735849,0.7358490566037735,0.8679245283018868,0.5094339622641509,0.5094339622641509,0.05,0.0,71.490566
600877.SH,电科芯片,半导体,20260127,U,24.78,24.78,20.28,1.0,262573836.0,93318,93339,262573836.0,9.9867,1232871.994,503765.07,7.2489,7.2489,,2934099.4212,0.47,,1,262573836.0,262573836.0,0.6981132075471698,0.5471698113207547,0.8679245283018868,0.9622641509433962,0.5094339622641509,0.5094339622641509,0.05,0.0,71.113208
001311.SZ,多利科技,汽车配件,20260127,U,44.48,44.48,36.4,0.0,140643313.0,131254,131254,140643313.0,9.9901,510151.232,118380.18,15.0141,15.0141,,1381145.5176,1.25,,1,140643313.0,140643313.0,0.6415094339622641,0.7924528301886793,0.6981132075471698,0.5566037735849056,0.5094339622641509,0.5094339622641509,0.05,0.0,69.830189
603061.SH,金海通,半导体,20260127,U,279.4,279.4,228.6,0.0,44284061.0,104324,104324,44284061.0,10.0,840717.336,31362.03,9.8326,9.8326,,1676400.0,0.78,,1,44284061.0,44284061.0,0.4716981132075472,0.660377358490566,0.8301886792452831,0.8490566037735849,0.5094339622641509,0.5094339622641509,0.05,0.0,68.320755
603121.SH,华培动力,汽车配件,20260127,U,24.18,24.18,19.78,0.0,29712384.0,93730,93730,29712384.0,10.0091,324034.823,135286.84,8.301,8.301,,818574.5229,1.66,25346030.88,1,29712384.0,29712384.0,0.2641509433962264,0.9056603773584906,0.8490566037735849,0.4528301886792453,0.5094339622641509,0.5094339622641509,0.05,0.0,68.169811
000659.SZ,珠海中富,广告包装,20260127,U,4.93,4.93,4.03,0.0,72285222.0,145112,145112,72285222.0,10.0446,357010.961,770923.46,7.1135,7.1135,,633851.3424,1.49,,1,72285222.0,72285222.0,0.16981132075471697,0.8867924528301887,0.9056603773584906,0.49056603773584906,0.5094339622641509,0.5094339622641509,0.05,0.0,67.415094
001267.SZ,汇绿生态,建筑工程,20260127,U,28.09,28.09,22.99,0.0,135309530.0,112330,112330,135309530.0,9.9843,1393387.469,517919.19,13.4423,13.4423,,2205527.5805,1.14,,1,135309530.0,135309530.0,0.8113207547169812,0.4716981132075472,0.7169811320754716,0.6698113207547169,0.5094339622641509,0.5094339622641509,0.05,0.0,65.830189
603916.SH,苏博特,化工原料,20260127,U,13.67,13.67,11.19,0.0,111376201.0,131713,131713,111376201.0,9.9759,751510.46,577796.83,26.3372,26.3372,,582745.7749,1.28,,1,111376201.0,111376201.0,0.9245283018867925,0.7169811320754716,0.33962264150943394,0.5283018867924528,0.5094339622641509,0.5094339622641509,0.05,0.0,65.566038
003031.SZ,中瓷电子,元器件,20260127,U,84.79,84.79,69.37,0.0,153950828.0,101836,101836,153950828.0,10.0026,908368.441,110915.68,7.2025,7.2025,,3824477.1915,1.12,,1,153950828.0,153950828.0,0.32075471698113206,0.6415094339622641,0.8867924528301887,0.6981132075471698,0.5094339622641509,0.5094339622641509,0.05,0.0,65.037736
002291.SZ,遥望科技,广告包装,20260127,U,8.28,8.28,6.78,1.0,235559293.0,92500,95221,235559293.0,9.9602,1258306.027,1533673.45,21.0782,21.0782,,774631.5523,1.14,,1,235559293.0,235559293.0,1.0,0.5283018867924528,0.41509433962264153,0.6698113207547169,0.5094339622641509,0.5094339622641509,0.05,0.0,64.660377
603381.SH,永臻股份,电气设备,20260127,U,23.35,23.35,19.11,1.0,30315398.0,134249,135243,30315398.0,9.9859,445273.507,199998.5,20.2949,20.2949,,553993.5212,3.87,,1,30315398.0,30315398.0,0.7358490566037735,0.8301886792452831,0.4528301886792453,0.1320754716981132,0.5094339622641509,0.5094339622641509,0.05,0.0,64.207547
603120.SH,肯特催化,化工原料,20260127,U,45.8,45.8,37.48,1.0,172913503.0,111222,111425,172913503.0,9.9904,255144.614,57574.51,25.4754,25.4754,,414032.0,3.23,,1,172913503.0,172913503.0,0.6226415094339622,0.9245283018867925,0.3584905660377358,0.1509433962264151,0.5094339622641509,0.5094339622641509,0.05,0.0,62.886792
002446.SZ,盛路通信,通信设备,20260127,U,12.46,12.46,10.2,0.0,132647291.0,131103,131103,132647291.0,9.9735,1692008.874,1410117.68,17.0839,17.0839,,1140607.9921,1.09,,1,132647291.0,132647291.0,0.9433962264150944,0.39622641509433965,0.5283018867924528,0.7169811320754716,0.5094339622641509,0.5094339622641509,0.05,0.0,62.849057
603163.SH,圣晖集成,建筑工程,20260127,U,101.59,101.59,83.12,0.0,72367636.0,104322,104322,72367636.0,10.0054,478169.803,49139.67,18.281,18.281,,1015900.0,0.72,4435188.23,1,72367636.0,72367636.0,0.3018867924528302,0.8113207547169812,0.4716981132075472,0.8867924528301887,0.5094339622641509,0.5094339622641509,0.05,0.0,62.320755
603663.SH,三祥新材,小金属,20260127,U,41.47,41.47,33.93,0.0,227932680.0,134631,134631,227932680.0,10.0,925571.454,228792.94,12.7154,12.7154,,1755424.0633,2.3,,1,227932680.0,227932680.0,0.4716981132075472,0.6226415094339622,0.7547169811320755,0.24528301886792453,0.5094339622641509,0.5094339622641509,0.05,0.0,61.0
000738.SZ,航发控制,航空,20260127,U,26.33,26.33,21.55,2.0,97582718.0,131842,141354,97582718.0,9.9833,2665704.483,1042905.04,15.8246,15.8246,,3462879.4746,1.22,,1,97582718.0,97582718.0,0.8867924528301887,0.22641509433962265,0.660377358490566,0.5849056603773585,0.5094339622641509,0.5094339622641509,0.05,0.0,59.0
002150.SZ,正泰电源,机械基件,20260127,U,25.88,25.88,21.18,0.0,81871742.0,132221,132221,81871742.0,9.9873,950582.113,387714.34,22.0493,22.0493,,933928.4622,1.7,,1,81871742.0,81871742.0,0.6792452830188679,0.6037735849056604,0.37735849056603776,0.4339622641509434,0.5094339622641509,0.5094339622641509,0.05,0.0,58.207547
002796.SZ,世嘉科技,通信设备,20260127,U,50.39,50.39,41.23,2.0,41949271.0,104221,143309,41949271.0,9.9978,1362751.522,279789.85,17.8863,17.8863,,1271677.051,1.17,,1,41949271.0,41949271.0,0.5660377358490566,0.49056603773584906,0.5094339622641509,0.6226415094339622,0.5094339622641509,0.5094339622641509,0.05,0.0,57.377358
002115.SZ,三维通信,互联网,20260127,U,15.73,15.73,12.87,2.0,193914013.0,93106,95036,193914013.0,10.0,1788835.873,1145767.54,16.8693,16.8693,,1275689.3652,0.45,,1,193914013.0,193914013.0,0.4716981132075472,0.3584905660377358,0.5849056603773585,0.9811320754716981,0.5094339622641509,0.5094339622641509,0.05,0.0,56.622642
300689.SZ,澄天伟业,通信设备,20260127,U,53.3,53.3,35.54,0.0,160853537.0,102421,102421,160853537.0,19.991,419922.405,83641.95,16.9299,16.9299,,616148.0,5.46,85890037.85,1,160853537.0,160853537.0,0.11320754716981132,0.8679245283018868,0.5660377358490566,0.09433962264150944,0.5094339622641509,0.5094339622641509,0.05,0.0,55.943396
000592.SZ,平潭发展,林业,20260127,U,10.68,10.68,8.74,0.0,493957390.0,100848,100848,493957390.0,9.9897,2726242.636,2642886.53,16.6837,16.6837,,2063141.9927,0.68,931319304.32,1,493957390.0,493957390.0,0.660377358490566,0.18867924528301888,0.6226415094339622,0.9150943396226415,0.5094339622641509,0.5094339622641509,0.05,0.0,55.830189
603132.SH,金徽股份,铅锌,20260127,U,20.16,20.16,16.5,13.0,5956856.0,93356,145635,5956856.0,9.9836,988070.838,498578.69,31.2393,31.2393,,1971648.0,6.18,-31219449.58,1,5956856.0,5956856.0,0.8490566037735849,0.5849056603773585,0.20754716981132076,0.07547169811320754,0.5094339622641509,0.5094339622641509,0.05,0.0,54.509434
002943.SZ,宇晶股份,机床制造,20260127,U,77.0,77.0,63.0,0.0,76728652.0,130127,130127,76728652.0,10.0,1591254.536,220393.45,16.7582,16.7582,,1582027.8397,1.51,,1,76728652.0,76728652.0,0.4716981132075472,0.41509433962264153,0.6037735849056604,0.4716981132075472,0.5094339622641509,0.5094339622641509,0.05,0.0,54.396226
002995.SZ,天地在线,互联网,20260127,U,27.61,27.61,22.59,1.0,47249048.0,100048,100506,47249048.0,10.0,798582.209,308267.79,36.9944,36.9944,,489951.8193,0.86,93601612.74,1,47249048.0,47249048.0,0.4716981132075472,0.6981132075471698,0.07547169811320754,0.8301886792452831,0.5094339622641509,0.5094339622641509,0.05,0.0,54.056604
600893.SH,航发动力,航空,20260127,U,50.59,50.59,41.39,0.0,133177517.0,134312,134312,133177517.0,10.0022,4266838.795,882834.31,6.7523,6.7523,,13485241.25,1.01,,1,133177517.0,133177517.0,0.3584905660377358,0.09433962264150944,0.9245283018867925,0.7547169811320755,0.5094339622641509,0.5094339622641509,0.05,0.0,52.698113
