ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
003018.SZ,金富科技,塑料,20260209,,22.59,,,9.9805,45544.106,20161.18,2.6724,2.0577,,587340.0,0.36,,1,0.6875,0.9821428571428571,0.9553571428571429,0.9419642857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,83.678571
605287.SH,德才股份,装修装饰,20260209,,50.61,,,9.9978,62731.095,12395.0,1.7309,0.8854,,708540.0,0.14,,1,0.5848214285714286,0.9732142857142857,0.9821428571428571,0.9910714285714286,0.5044642857142857,0.5044642857142857,0.05,0.0,82.526786
000892.SZ,欢瑞世纪,影视音像,20260209,,8.15,,,9.9865,157199.645,192883.0,3.7856,2.7135,,799499.0855,0.45,,1,0.6607142857142857,0.9285714285714286,0.9107142857142857,0.9107142857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,80.660714
000014.SZ,沙河股份,全国地产,20260209,,14.53,,,9.9924,76185.788,52433.44,3.283,2.1663,,351693.1635,1.01,,1,0.6116071428571429,0.9642857142857143,0.9285714285714286,0.6785714285714286,0.5044642857142857,0.5044642857142857,0.05,0.0,79.205357
002455.SZ,百川股份,化工原料,20260209,,12.25,,,9.9641,334926.919,273505.44,5.4256,5.2675,,727966.5657,0.15,,1,0.7232142857142857,0.7946428571428571,0.8482142857142857,0.9821428571428571,0.5044642857142857,0.5044642857142857,0.05,0.0,77.625
603729.SH,龙韵股份,广告包装,20260209,,19.64,,,10.028,33569.866,17092.6,2.6096,1.8313,,183315.832,0.55,,1,0.3125,1.0,0.9642857142857143,0.8839285714285714,0.5044642857142857,0.5044642857142857,0.05,0.0,77.107143
603980.SH,吉华集团,染料涂料,20260209,,7.21,,,10.0763,37633.842,52196.73,1.1902,0.7712,,487996.8526,0.06,24298947.33,1,0.20535714285714285,0.9910714285714286,1.0,1.0,0.5044642857142857,0.5044642857142857,0.05,0.0,76.589286
002259.SZ,升达林业,供气供热,20260209,,5.68,,,-9.9842,329019.398,575298.0,10.6692,7.6469,,427322.4557,0.82,-18742348.33,1,0.9821428571428571,0.8035714285714286,0.625,0.78125,0.5044642857142857,0.5044642857142857,0.05,0.0,76.446429
603188.SH,亚邦股份,染料涂料,20260209,,5.87,,,9.9251,204939.255,352653.0,8.7906,6.1851,,334689.79,1.12,,1,0.7946428571428571,0.9017857142857143,0.7321428571428571,0.6071428571428571,0.5044642857142857,0.5044642857142857,0.05,0.0,76.375
603533.SH,掌阅科技,互联网,20260209,,25.69,,,10.0214,176840.737,68836.41,3.0134,1.5684,,1127525.9691,0.36,,1,0.3392857142857143,0.9107142857142857,0.9375,0.9419642857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,75.196429
600969.SH,郴电国际,水力发电,20260209,,10.81,,,-9.9917,283372.63,243666.0,10.3568,6.5847,,400024.5732,2.47,-11272322.0,1,0.9910714285714286,0.8482142857142857,0.6428571428571429,0.2857142857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,74.160714
603829.SH,洛凯股份,电气设备,20260209,,26.06,,,10.0042,116009.484,45011.1,6.387,2.4165,,485409.6104,0.91,,1,0.48214285714285715,0.9375,0.8125,0.7142857142857143,0.5044642857142857,0.5044642857142857,0.05,0.0,74.142857
600884.SH,杉杉股份,电气设备,20260209,,15.81,,,10.0209,316930.011,200461.74,1.1911,1.0924,,3556321.7364,0.3,,1,0.3482142857142857,0.8125,0.9910714285714286,0.9642857142857143,0.5044642857142857,0.5044642857142857,0.05,0.0,74.053571
600586.SH,金晶科技,玻璃,20260209,,7.45,,,10.0443,213575.758,286678.87,2.9872,2.0227,,1055916.5865,0.21,,1,0.25,0.8928571428571429,0.9464285714285714,0.9732142857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,73.553571
002429.SZ,兆驰股份,家用电器,20260209,,10.34,,,10.0,510413.772,493630.34,2.3691,1.0911,,4680856.5876,0.48,,1,0.5491071428571429,0.6160714285714286,0.9732142857142857,0.9017857142857143,0.5044642857142857,0.5044642857142857,0.05,0.0,71.705357
601595.SH,上海电影,影视音像,20260209,,32.53,,,10.0101,299803.214,92162.07,6.6798,2.0563,,1457994.6,0.78,,1,0.4375,0.8392857142857143,0.8035714285714286,0.8035714285714286,0.5044642857142857,0.5044642857142857,0.05,0.0,71.321429
605598.SH,上海港湾,建筑工程,20260209,,63.89,,,10.0034,337882.908,54417.8,7.2541,2.2393,,1562652.3447,0.69,,1,0.5,0.7857142857142857,0.7857142857142857,0.8169642857142857,0.5044642857142857,0.5044642857142857,0.05,0.0,70.803571
300912.SZ,凯龙高科,汽车配件,20260209,,41.16,,,20.0,88835.628,21583.0,3.4152,2.5115,,472854.312,0.62,22467186.0,1,0.0625,0.9553571428571429,0.9196428571428571,0.8660714285714286,0.5044642857142857,0.5044642857142857,0.05,0.0,70.410714
301231.SZ,荣信文化,出版业,20260209,,42.24,,,20.0,95203.469,22538.7,4.1816,4.1816,,356505.6,0.32,,1,0.0625,0.9464285714285714,0.8928571428571429,0.9553571428571429,0.5044642857142857,0.5044642857142857,0.05,0.0,70.357143
600538.SH,国发股份,医药商业,20260209,,6.62,,,-10.0543,380758.615,556876.49,11.7937,10.6234,,347019.3064,3.0,-45561387.5,1,1.0,0.75,0.5803571428571429,0.1875,0.5044642857142857,0.5044642857142857,0.05,0.0,69.732143
001326.SZ,联域股份,电气设备,20260209,,61.93,,,10.0,158335.042,26611.43,12.7028,11.0406,,453327.6,1.04,,1,0.5491071428571429,0.9196428571428571,0.5267857142857143,0.6651785714285714,0.5044642857142857,0.5044642857142857,0.05,0.0,68.776786
002438.SZ,江苏神通,机械基件,20260209,,18.43,,,10.0299,354496.277,193656.25,5.1849,4.1302,,935391.5406,0.82,,1,0.30357142857142855,0.7767857142857143,0.8571428571428571,0.78125,0.5044642857142857,0.5044642857142857,0.05,0.0,68.178571
603031.SH,安孚科技,电气设备,20260209,,59.4,,,10.0,530107.38,91863.62,6.1849,4.3513,,1531479.2704,0.67,,1,0.5491071428571429,0.6071428571428571,0.8303571428571429,0.84375,0.5044642857142857,0.5044642857142857,0.05,0.0,68.151786
