ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
603729.SH,龙韵股份,广告包装,20260210,,21.6,,,9.9796,22230.698,10291.99,1.5714,1.1027,,201610.08,0.38,,1,0.7714285714285715,1.0,0.9571428571428572,0.8857142857142857,0.5071428571428571,0.5071428571428571,0.05,0.0,85.314286
603980.SH,吉华集团,染料涂料,20260210,,7.93,,,9.9861,42547.693,53654.09,1.2234,0.7927,,536728.8545,0.06,,1,0.7,0.9714285714285714,0.9857142857142858,0.9857142857142858,0.5071428571428571,0.5071428571428571,0.05,0.0,84.657143
605287.SH,德才股份,装修装饰,20260210,,55.67,,,9.998,22756.783,4087.8,0.5708,0.292,,779380.0,0.06,,1,0.5857142857142857,0.9857142857142858,1.0,0.9857142857142858,0.5071428571428571,0.5071428571428571,0.05,0.0,83.257143
603533.SH,掌阅科技,互联网,20260210,,28.26,,,10.0039,82477.29,29185.17,1.2776,0.665,,1240322.4557,0.18,,1,0.44285714285714284,0.9428571428571428,0.9714285714285714,0.9571428571428572,0.5071428571428571,0.5071428571428571,0.05,0.0,78.771429
605599.SH,菜百股份,服饰,20260210,,24.5,,,-9.9927,502108.062,200061.71,6.904,2.5722,,1905555.61,0.9,15947645.86,1,1.0,0.7285714285714285,0.8,0.7857142857142857,0.5071428571428571,0.5071428571428571,0.05,0.0,78.428571
002723.SZ,小崧股份,家用电器,20260210,,10.56,,,10.0,69887.03,66180.9,3.013,2.087,,350961.4691,0.4,,1,0.5285714285714286,0.9571428571428572,0.8857142857142857,0.8714285714285714,0.5071428571428571,0.5071428571428571,0.05,0.0,78.285714
002429.SZ,兆驰股份,家用电器,20260210,,11.37,,,9.9613,512075.863,450374.55,2.1615,0.9954,,5147131.4702,0.51,,1,0.8285714285714286,0.7142857142857143,0.9142857142857143,0.8428571428571429,0.5071428571428571,0.5071428571428571,0.05,0.0,77.714286
600589.SH,大位科技,软件服务,20260210,,11.45,,,9.9904,418720.225,365694.52,2.9291,2.4735,,1699947.0241,0.2,388769357.75,1,0.6714285714285714,0.7571428571428571,0.9,0.9428571428571428,0.5071428571428571,0.5071428571428571,0.05,0.0,76.514286
603115.SH,海星股份,铝,20260210,,25.43,,,9.9913,196118.075,78774.0,9.2468,3.2566,,615127.2872,1.19,,1,0.6285714285714286,0.8714285714285714,0.7428571428571429,0.7285714285714285,0.5071428571428571,0.5071428571428571,0.05,0.0,73.857143
002455.SZ,百川股份,化工原料,20260210,,13.48,,,10.0408,122838.145,91126.22,1.8077,1.755,,801060.3515,0.06,224359041.97,1,0.21428571428571427,0.9,0.9428571428571428,0.9857142857142858,0.5071428571428571,0.5071428571428571,0.05,0.0,73.2
