ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
603066.SH,音飞储存,仓储物流,20260424,11.12,9.9901,89313.537,80470.0,2.7354,,327128.2423,3.37,,1.0,U,11.12,9.1,0.0,30071816.0,93000,93000,0.0,78.694915,78.694915,9,,A,0.8305084745762712,0.9830508474576272,0.9322033898305084,0.22033898305084745,0.5084745762711864,0.8305084745762712,0.2966101694915254,1.0
600826.SH,兰生股份,文教休闲,20260424,10.32,10.0213,156400.682,152194.56,2.0692,,759070.6226,3.57,,1.0,U,10.32,8.44,1.0,23508072.0,93037,93649,1.0,72.305085,72.305085,9,,A,0.3389830508474576,0.9322033898305084,0.9661016949152542,0.1864406779661017,0.5084745762711864,0.8983050847457628,0.6610169491525424,1.0
002787.SZ,华源控股,广告包装,20260424,21.38,9.9794,334942.961,161285.05,6.4293,,716607.5687,0.51,47185779.33,1.0,U,21.38,17.5,0.0,74252740.0,93442,93442,0.0,71.338983,71.338983,9,,A,0.9491525423728814,0.711864406779661,0.6779661016949152,0.9661016949152542,0.5084745762711864,0.4406779661016949,0.2966101694915254,1.0
600370.SH,三房巷,化工原料,20260424,2.64,10.0,380217.043,1475913.69,3.673,,1060813.2675,3.0,,1.0,U,2.64,2.16,0.0,14968800.0,100331,100331,0.0,70.220339,70.220339,9,,A,0.6440677966101694,0.6610169491525424,0.864406779661017,0.2711864406779661,0.5084745762711864,0.9830508474576272,0.2966101694915254,1.0
603655.SH,朗博科技,汽车配件,20260424,47.52,10.0,295734.309,63952.02,6.0332,,503712.0,2.68,,1.0,U,47.52,38.88,2.0,33943440.0,101601,102149,2.0,68.813559,68.813559,9,,A,0.6440677966101694,0.7457627118644068,0.7288135593220338,0.3305084745762712,0.5084745762711864,0.6949152542372882,0.7796610169491526,1.0
603937.SH,丽岛新材,铝,20260424,13.85,10.0079,144650.331,109808.0,5.2567,,289313.373,1.16,,1.0,U,13.85,11.33,0.0,82054325.0,131741,131741,0.0,68.016949,68.016949,9,,A,0.4406779661016949,0.9661016949152542,0.8135593220338984,0.8135593220338984,0.5084745762711864,0.4067796610169492,0.2966101694915254,1.0
603016.SH,新宏泰,电气设备,20260424,58.04,10.0076,184102.571,32656.02,2.2041,,859920.64,0.41,,1.0,U,58.04,47.48,0.0,108581115.0,93543,93543,0.0,67.728814,67.728814,9,,A,0.4661016949152542,0.8813559322033898,0.9491525423728814,0.9830508474576272,0.5084745762711864,0.2033898305084746,0.2966101694915254,1.0
003036.SZ,泰坦股份,纺织机械,20260424,33.59,9.9869,672782.776,203250.92,9.3976,,726498.0769,1.46,89715849.54,1.0,U,33.59,27.49,2.0,16674008.0,94145,103715,2.0,67.423729,67.423729,9,,A,0.864406779661017,0.4745762711864407,0.3898305084745763,0.6271186440677966,0.5084745762711864,0.9661016949152542,0.7796610169491526,1.0
002127.SZ,南极电商,互联网,20260424,3.08,10.0,326827.606,1087193.21,5.4503,,756100.0841,4.43,,1.0,U,3.08,2.52,0.0,30690151.0,100903,100903,0.0,66.898305,66.898305,9,,A,0.6440677966101694,0.7288135593220338,0.7966101694915254,0.13559322033898305,0.5084745762711864,0.8135593220338984,0.2966101694915254,1.0
603819.SH,神力股份,电气设备,20260424,15.31,9.9856,211420.838,145068.07,6.6627,,333344.9163,1.62,,1.0,U,15.31,12.53,0.0,100357953.0,134336,134336,0.0,66.322034,66.322034,9,,A,0.8983050847457628,0.8305084745762712,0.6440677966101694,0.559322033898305,0.5084745762711864,0.2542372881355932,0.2966101694915254,1.0
