ts_code,name,industry,trade_date,close,pct_chg,amount,vol,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,is_limit_up_pool,limit_type,up_limit,down_limit,open_times,seal_amount,first_limit_time,last_limit_time,limit_open_count,limit_strength_raw,StrengthScore,base_strength_score,intraday_quality_score,intraday_strength_adjustment,strength_plus_score,intraday_available,intraday_status,intraday_missing_reason,intraday_source_date,intraday_feature_version,intraday_matched_key,auction_available,limitup_quality_score,intraday_soft_risk_score,intraday_hard_risk_flag,intraday_risk_score,late_withdraw_score,reseal_score,open_board_count,open_board_risk_score,auction_strength_score,auction_real_volume_score,seal_stability_score,intraday_confidence_score,intraday_data_status,auction_data_status,strength_feature_count,strength_missing_fields,strength_quality_flag,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_seal,_f_open_penalty,_strength_quality_adj
605377.SH,华旺科技,造纸,20260622,8.4,9.9476,103272.058,127524.41,2.2908,,467603.052,2.11,,1.0,U,8.4,6.88,4.0,23537186.0,101402,111408.0,4.0,81.094203,81.094203,81.094203,0.69,0.0,81.094203,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.9710144927536232,0.9710144927536232,0.9130434782608695,0.18840579710144928,0.5036231884057971,0.717391304347826,0.6920289855072463,1.0
002346.SZ,柘中股份,电气设备,20260622,20.27,9.9837,121843.34414,61035.82,1.5566,,895073.3358,0.97,,1.0,U,20.27,16.59,0.0,38508946.0,09:37:00,15:00:00,0.0,78.253623,78.253623,78.253623,0.825,0.849275,79.102898,1.0,ok,,20260622,intraday_refine_v2,002346.SZ,1,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.8260869565217391,0.9637681159420289,0.9637681159420289,0.6413043478260869,0.5036231884057971,0.6014492753623188,0.19202898550724637,1.0
002672.SZ,东江环保,环境保护,20260622,3.75,9.9707,68155.58795,185531.59,2.0498,,414470.925,0.72,,1.0,U,3.75,3.07,0.0,86837636.0,09:33:00,15:00:00,0.0,77.586957,77.586957,77.586957,0.825,0.982609,78.569566,1.0,ok,,20260622,intraday_refine_v2,002672.SZ,1,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.9347826086956522,0.9855072463768116,0.927536231884058,0.7971014492753623,0.5036231884057971,0.34057971014492755,0.19202898550724637,1.0
603727.SH,博迈科,石油开采,20260622,17.42,9.9747,136424.969,81159.07,2.8808,,490755.0206,1.63,,1.0,U,17.42,14.26,0.0,22201790.0,143922,143922.0,0.0,76.557971,76.557971,76.557971,0.69,0.0,76.557971,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.8985507246376812,0.9492753623188406,0.8478260869565217,0.322463768115942,0.5036231884057971,0.7391304347826086,0.19202898550724637,1.0
002367.SZ,康力电梯,运输设备,20260622,5.98,9.9265,207229.86564,353777.65,4.4524,,477051.7492,3.11,,1.0,U,5.98,4.9,2.0,17236752.0,09:45:00,15:00:00,2.0,75.398551,75.398551,75.398551,0.795,0.82029,76.218841,1.0,ok,,20260622,intraday_refine_v2,002367.SZ,1,1.0,0.15,0,1.0,0.0,0.5,1.0,0.2,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.9782608695652174,0.8405797101449275,0.7536231884057971,0.050724637681159424,0.5036231884057971,0.8333333333333334,0.5471014492753623,1.0
002167.SZ,东方锆业,小金属,20260622,17.74,9.9814,103129.8047,58134.05,0.7662,,1374270.4342,0.07,,1.0,U,17.74,14.52,0.0,933375819.0,09:30:00,15:00:00,0.0,74.007246,74.007246,74.007246,0.825,1.698551,75.705797,1.0,ok,,20260622,intraday_refine_v2,002167.SZ,1,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.8478260869565217,0.9782608695652174,0.9927536231884058,1.0,0.5036231884057971,0.007246376811594203,0.19202898550724637,1.0
002312.SZ,川发龙蟒,化工原料,20260622,9.26,9.9762,273986.47021,301297.43,1.5994,,1748018.7192,0.73,,1.0,U,9.26,7.58,0.0,88561797.0,09:35:00,15:00:00,0.0,73.253623,73.253623,73.253623,0.825,1.849275,75.102898,1.0,ok,,20260622,intraday_refine_v2,002312.SZ,1,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.8913043478260869,0.7898550724637681,0.9565217391304348,0.7898550724637681,0.5036231884057971,0.3333333333333333,0.19202898550724637,1.0
600322.SH,津投城开,区域地产,20260622,2.66,9.9174,209565.455,815766.36,7.3778,,294116.2,1.43,,1.0,U,2.66,2.18,6.0,0.0,13:17:00,15:00:00,6.0,76.507246,76.507246,76.507246,0.625,-2.801449,73.705797,1.0,ok,,20260622,intraday_refine_v2,600322.SH,1,1.0,0.4,0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,0.9927536231884058,0.8333333333333334,0.463768115942029,0.391304347826087,0.5036231884057971,0.9891304347826086,0.7644927536231884,1.0
002418.SZ,康盛股份,家用电器,20260622,4.66,9.9057,233192.952,507720.0,4.4678,,529562.4,0.97,,1.0,U,4.66,3.82,0.0,84433142.0,09:36:00,15:00:00,0.0,71.224638,71.224638,71.224638,0.825,2.255072,73.47971,1.0,ok,,20260622,intraday_refine_v2,002418.SZ,1,1.0,0.1,0,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.75,ok,ok,9,,A,1.0,0.8188405797101449,0.7463768115942029,0.6413043478260869,0.5036231884057971,0.36231884057971014,0.19202898550724637,1.0
603407.SH,长裕集团,化工原料,20260622,74.84,9.9941,37346.956,4990.24,1.3896,,3052537.9968,0.08,,1.0,U,74.84,61.24,0.0,269444655.0,92502,92502.0,0.0,72.615942,72.615942,72.615942,0.69,0.0,72.615942,0.0,missing_stock,stock not covered by intraday_features.csv,,,,1,0.55,0.0,0,0.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.0,missing_stock,ok,9,,A,0.7246376811594203,0.9927536231884058,0.9710144927536232,0.9891304347826086,0.5036231884057971,0.07971014492753623,0.19202898550724637,1.0
